year,subject,microtopic,questions
2016,General Studies I,Early Buddhist cave-art (Barabar and Nagarjuni caves) and its evolution into later western Indian cave traditions,1
2016,General Studies I,"Himalayan geomorphology & hazards: receding Himalayan glaciers, Himalayan landslides, tectonic deformation in northern plains, Chenab Valley land subsidence, expanding Himalayan glacial lakes",1
2016,General Studies I,'Adivasi' as a category: reasons for the term and geographic concentration of tribal populations; issues with tribal habitat in India,1
2016,General Studies I,"Communalism: meaning, historicity, role of third parties in inciting/perpetrating it, and whether it can be eradicated; regionalism's theories, manifestations, and possible remedies",1
2016,General Studies I,"Classical Temple Architecture: Nagara, Dravida, Vesara and regional sub-schools (Pallava, Chola, Pandya, Vijayanagara, Nayaka, Hoysala, Rashtrakuta, Kerala temples)",1
2016,General Studies I,"Migration patterns: internal migration shifts, distress migration, push/pull factors, emigration across colonial/post-independence/post-liberalisation periods, and remittance economies",1
2016,General Studies I,"Rise of Revolutionary Nationalism in India and abroad (Ghadar party, Abhinav Bharat, HSRA); role of Subhash Chandra Bose and the INA versus the Gandhian approach",1
2016,General Studies I,"Gandhian mass mobilization phases (Non-Cooperation, Civil Disobedience, Quit India) and the special role of women in this phase",1
2016,General Studies I,"Indus Valley Civilization: major cities and town-planning, internal/foreign trade, agriculture, domestication, crafts, weights and measures, script, society, religion, economy, burial system, and decline",1
2016,General Studies I,"Mineral and energy resources: metallic/non-metallic mineral types, distribution and mining regions, ferrous/non-ferrous metal production and trade, energy classification, conventional energy sources (coal, petroleum, natural gas, hydro-electricity), atomic energy (uranium/thorium), renewable energy ",1
2016,General Studies I,"The Revolt of 1857: causes, leaders, suppression, nature, and consequences as a watershed in British colonial policy",1
2016,General Studies I,"Colonialism and Imperialism: the age of imperialism (1870-1914), imperialism in Asia, and an analysis of colonialism",1
2016,General Studies I,"Linguistic reorganization of states and the Commissions (Dhar, JVP, Fazl Ali) — and whether it strengthened or weakened Indian unity; linguistic regionalism, constitutional language policy, and recent Hindi-language controversy",1
2016,General Studies I,"Settlement geography & disaster vulnerability: urban flooding, human-settlement surge in flood-prone areas, tribal-habitat issues",1
2016,General Studies I,"Transport and communication: land/water/air transport modes, sea routes and shipping canals, inland waterways, pipelines, and India-specific transport developments (RRTS, Odisha's coastal highway, AERA Act amendment)",1
2016,General Studies I,"Demographic transition: changes in population growth rates and distribution since Independence; population problems of developing vs developed countries; Malthusian, Marxian and Demographic Transition theories",1
2016,General Studies I,"Effects of globalization on Indian society: kinds of impact (economic, political, developmental, socio-cultural) and whether the impact is solely positive or negative",1
2016,General Studies I,"Water resources: underground/surface/inland/oceanic water resources, utilization patterns, water pollution, conservation techniques, river-interlinking projects, and the problem of ageing dams",1
2016,General Studies I,"Climatology: atmospheric composition and structure (exosphere to troposphere), insolation and heat balance, temperature distribution and inversion, atmospheric pressure and wind systems (pressure gradient/frictional/Coriolis forces), general/global circulation (Hadley/Ferrel/Polar cells), air masses",1
2016,General Studies II,"Political parties in India: reforms, problems in functioning, casteism and politics, anti-defection strengthening, and coalition-government dynamics",1
2016,General Studies II,"Evolution and key principles of Indian foreign policy: determinants, NAM/NAM 2.0, Panchsheel, India's nuclear doctrine, neighbourhood-policy evolution, Look/Act East and Look/Act West policies",1
2016,General Studies II,"Development process and industry: growth vs development, main constraints and stakeholders, SHGs (meaning, importance, institutional structure, funding, women's development linkage, poverty/rural-development linkage), and Micro Finance (meaning, structure, importance)",1
2016,General Studies II,"Constitutional Bodies: appointment transparency (CEC/EC selection process, CAG appointment/functions/powers), tenure security, and functional independence",1
2016,General Studies II,"Role of civil services in a democracy: concept and need for civil services, law-making role (policy formulation/implementation/evaluation), civil services as protector of minorities and promoter of inclusive growth, emerging challenges (lateral entry, capacity building, frequent transfers, cadre pol",1
2016,General Studies II,Right to Education Act's access-expansion vs persistent quality challenge; MGNREGA's asset-creation and distress-migration-reduction performance; National Rural Health Mission's implementation challenges; TPDS's effectiveness in reaching 'the poorest of the poor',1
2016,General Studies II,"Global institutions: UN structure (UNGA, UNSC and India's candidacy, ECOSOC), ICJ, UN specialised agencies (FAO, ICAO, ILO, IMO, ITU, UNESCO, IFAD, WHO, WMO, WIPO), World Bank",1
2016,General Studies II,"NGOs: definition and distinction from INGOs, UN criteria, role in development projects/community development/relief-rehabilitation/disaster management/advocacy",1
2016,General Studies II,"The Judiciary: integrated judicial system, Supreme Court composition/independence/jurisdiction/judicial-review/curative-petition, High Courts, lower judiciary, judicial appointments (collegium system, NJAC controversy), judicial accountability and corruption issues, PIL, judicial activism, and alter",1
2016,General Studies II,"Council of Ministers, Attorney General of India, and Parliament: composition of Lok Sabha/Rajya Sabha, qualification/disqualification, sessions, law-making procedure, officers, motions/resolutions, powers and privileges, financial proceedings, comparison of the two Houses, women's reservation in Par",1
2016,General Studies II,'Health for All' target vs structural health-infrastructure gaps; rising out-of-pocket health expenditure; commercialization of healthcare vs universal affordable public care,1
2016,General Studies II,Citizen's Charter and RTI Act: utility/limitations as accountability instruments; RTI's role in redefining accountability beyond mere citizen empowerment; flaws in RTI and improvement recommendations,1
2016,General Studies II,"Indian diaspora: role played, safety of Indians abroad, and welfare schemes for overseas Indians",1
2016,General Studies II,"Statutory/regulatory/quasi-judicial bodies: CVC, CBI, NHRC ('toothless tiger' critique), SHRC, Central/State Information Commission, NGT, SEBI, IRDA, TRAI, NCLAT, National Consumer Disputes Redressal Commission, Lokpal and Lokayukta, Planning Commission legacy, PMO, Zonal Council",1
2016,General Studies II,101st Amendment (GST): salient features and efficacy in building a common national market; 69th Amendment (NCT of Delhi) and federal friction; Article 311 safeguards for civil servants,1
2016,General Studies II,"India and neighbours: Nepal (water/hydropower cooperation, contentions, recommendations), Bhutan (economic overview, China issues), Afghanistan (development partnership, post-NATO options, Taliban presence), Bangladesh (development partnership, boundary agreements, Teesta dispute), Maldives (geostra",1
2016,General Studies II,"Local government: 73rd/74th Amendment provisions, functions of municipal corporations/councils/nagar panchayats, State Election/Finance Commission roles, Smart City Mission and municipal governance, Model Panchayat Citizens Charter",1
2016,General Studies II,"The Governor, Chief Minister, Advocate-General, and State Legislature: appointment, discretionary/ordinance/pardoning powers, composition of Vidhan Sabha/Parishad, legislative procedure, and inter-house relationships",1
2016,General Studies II,"Welfare schemes by constitutional arrangement: women welfare (gender technology gap, women in the political system, marriageable-age debate), child welfare, SC/ST/OBC welfare, caste census, minorities welfare, old-age welfare, and needed legislative reforms",1
2016,General Studies II,Fundamental Rights vs DPSPs: structural tension resolved via landmark pronouncements; scope expansion via the Right to Privacy judgment,1
2016,General Studies II,"Security challenges in the Indian Ocean Region: US pivot to Asia, South China Sea mistrust, Somalia piracy, neighbourhood terrorism, energy routes, fisheries/livelihood issues, environmental security, and Indian Ocean 'Zone of Peace' declaration",1
2016,General Studies III,"Security challenges in border areas: challenges to border management, community-participation approaches, non-demarcated border segments, and eastern-border illegal-migration security challenges",1
2016,General Studies III,"Social media and internal-security threats: regulation challenges, AI's dual role, and monitoring difficulties",1
2016,General Studies III,"Environmental Impact Assessment: executing body, effects analysed, EIA process, and the EIA notification of 1984 (procedural evolution)",1
2016,General Studies III,"Defence preparedness & terror financing: FATF's role in curbing terror financing, indigenization of defence production (Atmanirbhar Bharat), induction of S-400/Tejas Mk1A/indigenous missiles, biological/chemical-warfare preparedness (post-Covid), enhancements in intelligence agencies (RAW/IB/NIA)",1
2016,General Studies III,Landslide vulnerability of the Western Ghats and Himalayas: causes and mitigation strategies; institutional setups for chemical/industrial disaster management in urban-fringe clusters; cloudburst phenomenon and mountain-ecosystem vulnerability; multi-hazard resource-allocation dilemmas during live d,1
2016,General Studies III,"Structural growth debates: savings rate/investment pattern/capital-output ratio as growth levers, manufacturing's limited capacity to absorb agricultural surplus labour, direct-tax reform and tax-to-GDP widening, GDP's agriculture-to-services shift without a manufacturing base, and the 'jobless grow",1
2016,General Studies III,"Inclusive growth: meaning and concept of inclusion, India's inclusion experience, social-sector initiatives, ground reality of flagship schemes, rural-economy-based growth, sustainable agriculture/food-security linkage, PDS as a growth tool, financial inclusion, poverty-alleviation-and-employment st",1
2016,General Studies III,"Land reforms: colonial-era ownership patterns (Zamindari, Ryotwari, Mahalwari), objectives and progress since Independence, ceiling-legislation progress, NITI Aayog's land-leasing report, and the SVAMITVA scheme",1
2016,General Studies III,"Banking: structure/functions, RBI and bank types (public/private/foreign/regional-rural/local-area/specialized/small-finance/payments banks), nationalization history, banking-sector reform committees (Narasimhan, Nachiket Mor, P J Nayak), development-finance institutions, new bank-licence criteria, ",1
2016,General Studies III,"Terrorism threat to India: changing face of terrorism, threats faced, the broader counter-terrorism framework, and drawbacks in intelligence infrastructure",1
2016,General Studies III,"Nanoscience and nanotechnology: basics, nanomaterials, applications (medicine, semiconductors, food, textiles, sustainable energy, environment, transport, space, agriculture) and adverse health/environmental/ethical impacts",1
2016,General Studies III,"Case studies & sector-specific disaster risk: pandemic-preparedness funding, disaster-induced displacement, urban flood management, Joshimath crisis case study, Turkiye earthquake case-study lessons",1
2016,General Studies III,"Space technology: orbit types, launch-vehicle classification, major agencies (ISRO, NASA, ESA, Roscosmos, JAXA, CNSA) and their missions, ISRO's national-development role, private-sector/PPP participation, cryogenics/nanosatellites/electric propulsion, satellite communication, remote sensing, naviga",1
2016,General Studies III,"Technology in agriculture: data revolution, AI applications, social-security schemes for farmers (climate-smart agriculture, precision farming for input-wastage mitigation)",1
2016,General Studies III,"Role of agriculture in the Indian economy: historical background and current status, cropping systems (mono-cropping, crop rotation, sequential/inter/relay cropping), agriculture marketing, conclusive land titling, and the Biotech-KISAN programme",1
2016,General Studies III,"Investment models: need for and sources/measures of investment, domestic (public/private/PPP) and foreign (FDI/FII) investment models followed by India, and the role of the state",1
2016,General Studies III,"Crop insurance in India: historical background, issues, PMFBY, and comparison with earlier schemes",1
2016,General Studies IV,"Case studies: public-service integrity & corruption dilemmas: welfare-scheme 'ghost beneficiary' fraud amid caste sensitivities, law-enforcement bribery from an illegal-mining network, superior's personal-gain conflict-of-interest request, tax officer's technical-vs-substantial-compliance discretion",1
2016,General Studies IV,"Essence, determinants and consequences of ethics in human actions; approaches to ethical study (Indian vs Western perspectives); basic concepts of morality and value",1
2016,General Studies IV,Conscience vs conformity: whistleblowing dilemmas within rule-bound bureaucratic hierarchies (including the Edward Snowden case — legality vs moral obligation to inform the public),1
2016,General Studies IV,"Case studies: whistleblowing, disclosure & confidentiality dilemmas: whistleblower/suspect pleading humanitarian delay, workplace-harassment complaint with a confidentiality request, industrial-pollution complaint against a politically-connected employer",1
2016,General Studies IV,"Case studies: welfare-access & exclusion dilemmas: digital/biometric exclusion of a genuine welfare beneficiary, biometric-mandate exclusion of poor/labour children, eligibility-criteria strict-rule-vs-humane-exception dilemmas",1
2016,General Studies IV,Concept of public service and the philosophical basis of governance/probity; public servants as 'trustees' of public power and financial resources,1
2016,General Studies IV,Frequently cited quotation-anchors for ethics answer-writing: Gandhi's 'Seven Sins' and 'the weak can never forgive'; Socrates' 'an unexamined life is not worth living'; Nehru on awakening women as key to awakening the nation; Jefferson's 'honesty is the first chapter in the book of wisdom' (intelle,1
2016,General Studies IV,"Case studies: development vs displacement/environment trade-offs: environmental clearance vs displacement/pollution trade-offs, court-ordered demolition vs livelihood/political pressure, factory-closure aftermath (unemployment vs environmental enforcement)",1
2016,General Studies IV,"Administrative-management thinkers used as case anchors: Max Weber, Elton Mayo, Peter Drucker, Chester Barnard, Mary Parker Follett",1
2016,General Studies IV,"Corporate governance: concept, models of Corporate Social Responsibility, World Bank steps for good corporate governance, and norms for corporate governance in India; concept of business ethics",1
2016,General Studies IV,"Corruption in India: extent, dimension, and response; corruption as a social evil; probity in public life; exposing corruption via civil-society initiatives and the Whistleblower Act; tackling and controlling corruption via various institutional approaches",1
2016,General Studies IV,Distinguishing a 'Code of Conduct' from a 'Code of Ethics'; code of conduct for ministers/legislators/civil servants/regulators/judiciary,1
2016,General Studies IV,"The self-awareness cluster (understanding feelings, accurate self-assessment) and self-management cluster (managing internal states/impulses/resources)",1
2016,General Studies IV,Attitude-behaviour gap in civil-servant decision-making under political pressure; persuasion techniques in public communication and citizen behaviour-change campaigns,1
2016,General Studies IV,"Western philosophers used as ethics-paper anchors: Plato, Aristotle, Socrates, Jeremy Bentham, J.S. Mill, Thomas Hobbes, John Locke, Jean-Jacques Rousseau, John Rawls, Immanuel Kant (categorical imperative applied to public service), Carol Gilligan, Jean-Paul Sartre, Hegel, Confucius, Rene Descartes",1
2016,General Studies IV,Ethics in public life vs economic life; freedom and discipline; duties and rights; virtue ethics; consequences of ethics in human actions,1
2016,General Studies IV,"Attitude-formation model, impact of beliefs and values, group and social influences, persuasion tactics and tools",1
2017,General Studies I,"Water resources: underground/surface/inland/oceanic water resources, utilization patterns, water pollution, conservation techniques, river-interlinking projects, and the problem of ageing dams",2
2017,General Studies I,"Mineral and energy resources: metallic/non-metallic mineral types, distribution and mining regions, ferrous/non-ferrous metal production and trade, energy classification, conventional energy sources (coal, petroleum, natural gas, hydro-electricity), atomic energy (uranium/thorium), renewable energy ",1
2017,General Studies I,Deindustrialization of traditional artisanal industries and British economic policy's impact on the rural economy,1
2017,General Studies I,"Tsunami mechanism, wave properties, and effects",1
2017,General Studies I,Post-Mauryan and Jain sculptural traditions; Gupta-era sculpture and its 'golden age' craftsmanship,1
2017,General Studies I,"Miscellaneous cultural themes: handicrafts, Indian universities, cultural personalities, places of cultural interest, fairs and festivals, cultural institutions and awards, the calendar and eras, science and technology in ancient India, UNESCO heritage listings, legal provisions protecting cultural ",1
2017,General Studies I,Salient features and changes within Indian society and their repercussions; diversity of India and whether 'unity in diversity' is reality or a reconciled chimera,1
2017,General Studies I,"Communalism: meaning, historicity, role of third parties in inciting/perpetrating it, and whether it can be eradicated; regionalism's theories, manifestations, and possible remedies",1
2017,General Studies I,"Early nationalism: pre-Congress organisations, Indian National Congress (1858-1905), early nationalists vs Swadeshi/Extremist strategic factions, GoI Act 1909, Home Rule League",1
2017,General Studies I,Mid-18th century fragmented polity and the decline of the Mughal empire; Panipat as a recurring site of empire-shaking battles,1
2017,General Studies I,"World War II: foundations, course, aftermath, analysis, and the decolonization phase",1
2017,General Studies I,"Climate of India: factors influencing climate, monsoon mechanism (classical/modern/air-mass/jet-stream theories), El Nino-La Nina impact, rhythm of seasons, and climatic regions",1
2017,General Studies I,"Ocean & climate-system dynamics: mid-oceanic ridges and biodiversity, changing El Nino/La Nina patterns, Oceanic Nino Index, climate change's impact on ocean currents, slowdown in overturning circulation, marine heatwaves, cryosphere and climate change",1
2017,General Studies I,"Industrial localization parameters: distribution factors for iron-steel and cotton-textile industries in India, and why petroleum refineries are often sited away from crude-producing areas",1
2017,General Studies I,"Oceanography: hydrological cycle, ocean floor relief (continental shelf/slope, deep sea plain, trenches, mid-oceanic ridges, seamounts, submarine canyons, guyots, atolls), ocean water temperature/salinity/density distribution, tides and tidal currents, ocean currents (surface/deep, warm/cold) and th",1
2017,General Studies I,"Industry and industrial geography: industrial development phases, iron-and-steel/textile/engineering/chemical/agro-based/paper/cement/petroleum-refining industries and their localization factors, principal industrial regions of the world (Anglo-America, former USSR, Eastern Asia)",1
2017,General Studies I,"The struggle for Swaraj: Montagu's 1917 statement, Gandhi's emergence as a mass leader, Khilafat and Non-Cooperation, Swaraj Party, revolutionary terrorism phase II (1920s), Simon Commission and Nehru Report",1
2017,General Studies I,"Urbanization in India: pattern, issues, rural-urban migration, slum emergence, urban transport/waste/water-sanitation, urban poverty, and inclusive/smart-city responses",1
2017,General Studies I,"Origin and evolution of the Earth: early/modern (BBT) theories, star and planet formation, layered structure, evolution of lithosphere/atmosphere/hydrosphere, and origin of life",1
2017,General Studies I,"Children and vulnerable-section issues: child labour, child adoption, Juvenile Justice Act 2015, child trafficking, age of consent; tribal welfare (denotified tribes), LGBTQIA+ rights, disability rights, manual scavenging, marginalisation of sexual minorities",1
2017,General Studies II,"Council of Ministers, Attorney General of India, and Parliament: composition of Lok Sabha/Rajya Sabha, qualification/disqualification, sessions, law-making procedure, officers, motions/resolutions, powers and privileges, financial proceedings, comparison of the two Houses, women's reservation in Par",2
2017,General Studies II,The National Commission for SCs (constitutional-reservation enforcement including in religious-minority institutions); Rights of Persons with Disabilities Act 2016's administrative-capacity adequacy; National Commission for Women's strategizing capacity; need for an objective outcome-based review of,2
2017,General Studies II,"Elections in India: salient features of the Representation of People Acts 1950/1951, electoral reforms, criminalization of politics, negative/neutral voting, state funding of elections, irregularities in polling, and electoral bonds",2
2017,General Studies II,"Fundamental Rights: significance, definition of 'State', equality/freedom/exploitation/religion/cultural-educational/constitutional-remedies rights, Fundamental Rights and the Armed Forces, martial law, procedure-established-by-law vs due process of law, writs, restrictive limitations, rights outsid",2
2017,General Studies II,"Local government: 73rd/74th Amendment provisions, functions of municipal corporations/councils/nagar panchayats, State Election/Finance Commission roles, Smart City Mission and municipal governance, Model Panchayat Citizens Charter",1
2017,General Studies II,"Pressure groups and formal/informal associations: types, significance, distinction from political parties, politicisation of pressure groups, and their evolving role via new media",1
2017,General Studies II,"Poverty and hunger: definitional debates across committees, poverty data, causes, urban vs rural vs feminized poverty, poverty-alleviation measures and implementation problems, food-security programmes, and controversies in poverty-data estimation",1
2017,General Studies II,"Federalism, reservation & constitutional status: Article 31C, reservation on the basis of religion/domicile, sub-categorisation of SC/OBC, reservation in J&K, Ladakh's demand for 6th Schedule status, Article 370 verdict, Citizenship Amendment Act, Uniform Civil Code, comparative secularism (Indian v",1
2017,General Studies II,"Global institutions: UN structure (UNGA, UNSC and India's candidacy, ECOSOC), ICJ, UN specialised agencies (FAO, ICAO, ILO, IMO, ITU, UNESCO, IFAD, WHO, WMO, WIPO), World Bank",1
2017,General Studies II,"Digital Public Infrastructure: open-source stacks, data-privacy safeguards, and targeted-benefit optimization (e.g. Swachh Bharat Mission's water/sanitation/hygiene delivery synchronised with anticipated outcomes)",1
2017,General Studies II,101st Amendment (GST): salient features and efficacy in building a common national market; 69th Amendment (NCT of Delhi) and federal friction; Article 311 safeguards for civil servants,1
2017,General Studies II,"India and other regions: Africa (historical connections, South-South engagement, trade/investment/security cooperation), Australia (diaspora, economic ties, nuclear cooperation), France (strategic partnership), Germany (economic relations), UK (Brexit implications)",1
2017,General Studies II,"Multilateral relations: WTO (decision-making, Nairobi Package, IPR, reforms, agriculture issues, FTAs), IMF and reforms, nuclear-security architecture (NSG, MTCR, NPT), BRICS/BIMSTEC/IBSA/SAARC, India-ASEAN economic cooperation",1
2017,General Studies II,"Evolution and key principles of Indian foreign policy: determinants, NAM/NAM 2.0, Panchsheel, India's nuclear doctrine, neighbourhood-policy evolution, Look/Act East and Look/Act West policies",1
2017,General Studies II,"Major powers: Russia (strategic cooperation, Russia-China impact on India), China (economic relations, water disputes, String of Pearls, Maritime Silk Route/BRI implications, border disputes, South China Sea, CBMs), USA (strategic consultations, counter-terrorism, trade, energy/climate, S&T/space, d",1
2017,General Studies III,"Role of agriculture in the Indian economy: historical background and current status, cropping systems (mono-cropping, crop rotation, sequential/inter/relay cropping), agriculture marketing, conclusive land titling, and the Biotech-KISAN programme",2
2017,General Studies III,"Main features of industrial development: role of private/public sectors, investment/employment/productivity trends, disinvestment/privatization strategy, MSME role and government policy, New Manufacturing Policy, industrial corridors, SEZ issues (land use, relocation, tax-income loss vs export gains",2
2017,General Studies III,"Space technology: orbit types, launch-vehicle classification, major agencies (ISRO, NASA, ESA, Roscosmos, JAXA, CNSA) and their missions, ISRO's national-development role, private-sector/PPP participation, cryogenics/nanosatellites/electric propulsion, satellite communication, remote sensing, naviga",1
2017,General Studies III,"Inclusive growth: meaning and concept of inclusion, India's inclusion experience, social-sector initiatives, ground reality of flagship schemes, rural-economy-based growth, sustainable agriculture/food-security linkage, PDS as a growth tool, financial inclusion, poverty-alleviation-and-employment st",1
2017,General Studies III,"Basics of cyber security: types of cyber crimes, impact and required steps, ransomware incidents, India's cyber-security infrastructure, and the National Cyber Security Policy 2013",1
2017,General Studies III,"Insurgency in the North-East: issues/conflicts, Assam insurgency, and resolving the Bodo issue",1
2017,General Studies III,"Structural growth debates: savings rate/investment pattern/capital-output ratio as growth levers, manufacturing's limited capacity to absorb agricultural surplus labour, direct-tax reform and tax-to-GDP widening, GDP's agriculture-to-services shift without a manufacturing base, and the 'jobless grow",1
2017,General Studies III,"Subsidies: farm/fertiliser/power/irrigation subsidies, issues of direct/indirect subsidies and MSP, objectives, gainer-loser resource transfer, buffer-stock/food-security issues, and technology missions",1
2017,General Studies III,"Agricultural revolutions in India: Green, White (Operation Flood), Yellow, Blue, and Golden Fibre (jute) revolutions, and the future of Indian agriculture",1
2017,General Studies III,"Internal conflict & law-and-order: Naxal-Maoist major encounters, communal-tension mitigation, National Security Act applications, UAPA amendments",1
2017,General Studies III,"Nuclear energy: reaction types, civil/military applications, fuel cycle and centrifugation, reactor types, India's nuclear policy, radioactive-waste management, nuclear/radiological disaster preparedness, and institutions (DAE, AERB, BARC, IGCAR)",1
2017,General Studies III,"Climate change basics: greenhouse effect and global warming, international efforts to control climate change, ozone-layer depletion, acid rain, El Nino/La Nina",1
2017,General Studies III,"Biotechnology & medical science: nano-urea, CAR T-cell therapy, gene therapy for Hemophilia A, metagenome sequencing, human pan-genome map, mitochondrial-donation treatment",1
2017,General Studies III,"Industrial policy and development: Mahalanobis strategy, Industrial Policy Resolutions 1948/1956, New Economic Policy/liberalization/privatization/globalization, phases of industrial development, and effects on different sectors",1
2017,General Studies III,"Infrastructure: economic/social/environmental impact of infrastructure, transport (ports, inland waterways, roads, National Infrastructure Pipeline, Bharatmala, airports, railways, energy pipelines), negative externalities of transport, ownership/financing/pricing of public utilities, PPP project de",1
2017,General Studies III,"Terrorism threat to India: changing face of terrorism, threats faced, the broader counter-terrorism framework, and drawbacks in intelligence infrastructure",1
2017,General Studies III,"Fiscal policy: important budgetary/fiscal terms, government revenue/spending, revenue/fiscal/primary deficits and their financing",1
2017,General Studies III,"Food processing and related industries: scope and significance, location, upstream/downstream requirements, supply-chain management, Mega Food Parks, FDI policy, notable sector trends, and budget/policy strategies",1
2017,General Studies IV,Role of ethical values in governance and society; significance of value in civil services; society's and educational institutions' contribution to inculcating values; aesthetic values; values in work-life and professional ethics,3
2017,General Studies IV,"Essence, determinants and consequences of ethics in human actions; approaches to ethical study (Indian vs Western perspectives); basic concepts of morality and value",2
2017,General Studies IV,"Essential aptitude for civil servants; foundational values of civil services: neutrality, anonymity, accountability, integrity, humility, adaptability, magnanimity, perseverance, impartiality/non-partisanship, tolerance and compassion for the weaker sections, and contribution to society",2
2017,General Studies IV,Frequently cited quotation-anchors for ethics answer-writing: Gandhi's 'Seven Sins' and 'the weak can never forgive'; Socrates' 'an unexamined life is not worth living'; Nehru on awakening women as key to awakening the nation; Jefferson's 'honesty is the first chapter in the book of wisdom' (intelle,2
2017,General Studies IV,"Case studies: crisis & resource-allocation dilemmas: drought-relief tanker capture by a 'tanker mafia', disaster resource-allocation triage (elite vs marginalised site), law-and-order vs root-cause balancing (illicit liquor), government-doctor private-practice neglect with union-strike threat",1
2017,General Studies IV,"Can an administrator succeed on aptitude alone, without integrity? — the integrity-vs-competence debate; impartiality maintenance under political transfer-posting pressures",1
2017,General Studies IV,"Information sharing, transparency and Right to Information: importance of vigilant citizens, information-sharing/participation, flaws in RTI and improvement recommendations",1
2017,General Studies IV,"Case studies: whistleblowing, disclosure & confidentiality dilemmas: whistleblower/suspect pleading humanitarian delay, workplace-harassment complaint with a confidentiality request, industrial-pollution complaint against a politically-connected employer",1
2017,General Studies IV,Importance of EI at the workplace and in civil services; components of EI applied to conflict resolution and crisis-time administrative communication,1
2017,General Studies IV,"Corporate governance: concept, models of Corporate Social Responsibility, World Bank steps for good corporate governance, and norms for corporate governance in India; concept of business ethics",1
2017,General Studies IV,Moral judgements in international relations; ethical relation in funding international relations and the concept of moral responsibility; ethics in the working of international organisations,1
2017,General Studies IV,"Conflict of interest: definition, actual vs potential conflicts, with illustrative examples; administrative value conflicts in maintaining political neutrality while processing sensitive files",1
2017,General Studies IV,"Labour & social-welfare ethics (case studies): manual-scavenging as societal ethics, labour/worker ethics (working hours), live-in-relationship ethics, food-service safety ethics, consumerism, individual social responsibility, nudge ethics",1
2017,General Studies IV,"Case studies: public-safety & procurement dilemmas under pressure: infrastructure-safety cover-up under election-timeline pressure, defence-procurement L1-vs-clean-bidder dilemma, clinical-trial consent violations vs public-health urgency",1
2018,General Studies I,"Communalism: meaning, historicity, role of third parties in inciting/perpetrating it, and whether it can be eradicated; regionalism's theories, manifestations, and possible remedies",1
2018,General Studies I,"Re-organisation and integration of states: constitutional provisions, factors behind the merger, accession of princely states, J&K/Hyderabad/Junagarh crises, accession of French/Portuguese enclaves, accession of Sikkim, refugee rehabilitation, federal crisis, and national integration",1
2018,General Studies I,"History through the eyes of travellers: Ayodhya's historical narratives, Chinese pilgrim travellers, Arab travellers and cultural encounters",1
2018,General Studies I,"Plate tectonics: lithospheric plates (major/minor), plate boundary types (divergent/convergent/transform), rates and forces of plate movement, and the Indian plate's 71-million-year movement history",1
2018,General Studies I,"Gandhian mass mobilization phases (Non-Cooperation, Civil Disobedience, Quit India) and the special role of women in this phase",1
2018,General Studies I,"Water resources: underground/surface/inland/oceanic water resources, utilization patterns, water pollution, conservation techniques, river-interlinking projects, and the problem of ageing dams",1
2018,General Studies I,"Effects of globalization on Indian society: kinds of impact (economic, political, developmental, socio-cultural) and whether the impact is solely positive or negative",1
2018,General Studies I,Bhakti and Sufi movements: reach across age/gender/religious barriers; Sri Chaitanya's re-orientation; Vaishnava Acharyas' metaphysical foundations; Maharashtra Dharma; Brahmo Samaj and Ramakrishna Mission as 19th-century reform continuities,1
2018,General Studies I,"Role of women's organizations and SHGs in Indian history: types, level of penetration, problems faced, and the role of microfinance institutions",1
2018,General Studies I,"Caste system: structural resilience as a barrier to social mobility, and its adaptation to modernization/secularization",1
2018,General Studies I,"Poverty and development issues: concept of development, Sen vs Bhagwati model, crisis of development",1
2018,General Studies I,"Secularism: meaning, the Indian constitutional vantage point, comparison with the Western model, Gandhian view on religion, and threats to the secular spirit",1
2018,General Studies I,"Resource geopolitics: Arctic ice-melt causes/consequences, Arctic resource-driven geopolitical conflict, and mineral resource base as determined by geological structure",1
2018,General Studies I,UNESCO World Heritage sites of India: cultural criteria and conservation issues,1
2018,General Studies I,Coinage of India and inscriptions/coins as sources of history; Devadasi tradition; Aadi Mahotsav and tribal cultural empowerment; Dwarka and India's ancient maritime heritage; bronze art tradition from Indus Valley to medieval times; seals of the Indus Valley,1
2018,General Studies II,"India and Asian nations: Central Asian republics (Turkmenistan, Kazakhstan, Tajikistan; China's role; International North-South Transport Corridor; SCO), Mongolia, UAE, Iran (nuclear deal, US geo-economic considerations), Israel-Palestine and India-Israel relations, Saudi Arabia, Asia-Pacific groupi",3
2018,General Studies II,"Constitutional bodies: Election Commission, UPSC, State PSC, Finance Commission, GST Council, National Commission for SCs/STs, Special Officer for Linguistic Minorities, National Commission for Backward Classes; Non-Constitutional Bodies: NITI Aayog",2
2018,General Studies II,"Governance indices & accountability: domestic/international indices and rankings (GHI, NITI Aayog reports, NIRF), aspirational districts, SDGs and India",1
2018,General Studies II,"Government intervention: role of institutions/bureaucrats/stakeholders, transparency and accountability, optimum resource use (targeting, plugging leakages), monitoring and evaluation of outcomes, and interventions in emerging areas (social media, data privacy, social sector)",1
2018,General Studies II,"Comparative constitutionalism: Indian scheme vs USA, UK, France, and neighbouring constitutions",1
2018,General Studies II,"e-Governance: introduction, applications, models, successes/limitations/future prospects, dashboards/portals, democracy-and-e-governance linkage, and e-governance in the judiciary/legislature",1
