row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty
"tag","a51f68f3-0db3-4067-bb40-aeb30b2aa1f9","2023","652eb8c7-a25a-48c1-b51d-ddf64f8ede1b","Family tree puzzle with generations","","spot_check","","","","",""
"tag","5a63669e-9ef6-43fa-aba3-05fe130b7934","2023","67cbcf15-b007-4ffe-b2cc-2ba4458f0759","IFSCA Banking Regulations","","","","","","",""
"tag","ff584ac7-7b68-4bea-a2bd-31ca602c4bca","2023","67cbcf15-b007-4ffe-b2cc-2ba4458f0759","IFSCA Banking Regulations","","","","","","",""
"tag","39fc5dc7-5a45-483b-bc53-cdf7935da1d8","2023","67cbcf15-b007-4ffe-b2cc-2ba4458f0759","IFSCA Banking Regulations","","","","","","",""
"tag","5781a56a-1635-40df-a93d-fbbb129af906","2023","67cbcf15-b007-4ffe-b2cc-2ba4458f0759","IFSCA Banking Regulations","","","","","","",""
"tag","2f84a197-cf04-44e9-a832-092efd561692","2023","6e107aa5-c9e0-4888-a7e9-862e98bea935","Month and date scheduling puzzle","","","","","","",""
"tag","4ab19891-005e-43e5-83c5-e6b10ab9f56e","2023","6e107aa5-c9e0-4888-a7e9-862e98bea935","Month and date scheduling puzzle","","","","","","",""
"tag","ecec2ca5-080a-4235-8d41-ada4f23668f4","2023","6e107aa5-c9e0-4888-a7e9-862e98bea935","Month and date scheduling puzzle","","","","","","",""
"tag","6c862733-f7b1-4b23-a1bc-2b4f968bb83f","2023","6e107aa5-c9e0-4888-a7e9-862e98bea935","Month and date scheduling puzzle","","","","","","",""
"tag","212fa0ef-2a2f-490c-a43d-7e4d4adbd1da","2023","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","76c20fb3-59c3-4f09-83ff-b08fd8c4bb24","2023","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","47479a01-ef19-495c-a0c2-fdb1fe336bfb","2023","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","25ffd913-e92d-4ac4-bea5-3aaa333b03eb","2023","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","spot_check","","","","",""
"tag","999ab970-c653-4136-b444-b32d0a324d0a","2023","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","8350f971-c507-4d01-9c9a-6a64b5706b73","2023","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","b1212347-abcb-40bd-add4-aa02110f010d","2023","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","5fd530c9-043d-48b6-9479-414b98911829","2023","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","8b81efeb-9a47-4cd1-afee-64cd6f7f76e8","2023","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","efd09628-5c7d-4730-b507-4c02464290cc","2023","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","4702c296-8753-4f36-8f2b-cfdee6143fe3","2023","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","b0d765cd-7737-436e-b90c-7729c38ddda8","2023","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","42353d7d-21a2-401c-be12-15ec047b2db3","2023","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","be977428-f7ae-4b97-b5d5-c7b3ee71cdb2","2023","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","79e2e8b3-c9cf-431a-a9e1-cfc06bb7f839","2023","71b06075-f4d6-4b04-8921-30d18492f18a","Current events of national importance","","","","","","",""
"tag","91c2a39a-005d-49f6-b5c6-d2ab23e18ac6","2023","74799854-a84e-4607-844e-afb8c50b7bc0","Simple and compound ratio","","","","","","",""
"tag","16d9e57e-4e50-436c-9de7-7c6e2fe3fd7d","2023","7d94ff40-34f9-47fe-9caa-9eae0dc38116","Mixtures and alligation","","spot_check","","","","",""
"tag","70d2dd8b-a9e3-4ad7-84e1-b69cc2327c50","2023","7e1e6fc8-4e40-4e18-bfb7-660c80143603","RBI Act 1934 ΓÇö constitution, note issue, functions","","","","","","",""
"tag","637eae4e-645e-4f6d-82c1-e7d22fb797d4","2023","7e9de247-a854-4388-a44a-597c50de043a","Missing-term simplification (find ?)","","","","","","",""
"tag","f2121d1b-3eab-465c-9c3f-0af720e5864f","2023","7e9de247-a854-4388-a44a-597c50de043a","Missing-term simplification (find ?)","","","","","","",""
"tag","a43e49d8-ff86-4e1b-bf9f-2f55a6a51aa4","2023","83767c6b-bfac-4384-8dc1-2deeff9d5b83","Capital and leverage norms; D-SIBs","","","","","","",""
"tag","e52226d0-3bae-4805-9830-02b664b1a440","2023","89bb1536-fd50-4ef9-aa73-a28cf8923927","RBI Retail Direct","","","","","","",""
"tag","0e8074ae-0445-4668-b3cc-47a593f31b3d","2023","8b7921cf-e18e-489a-b064-521439563b66","Measurement of growth ΓÇö national income and per capita income","","","","","","",""
"tag","8a973110-1337-4f2b-b9de-c2d0f4f6f0aa","2023","970269b7-0d99-4a0b-a239-fb4d5a6b26eb","Pension Fund Managers","","","","","","",""
"tag","fed34811-9ff6-444e-9d3e-f6dd256899d1","2023","993efa09-2f9d-42be-a0b3-b6c912e0f07c","Possibility conclusions","","","","","","",""
"tag","d8265e0d-202a-4a01-af2d-ae046899523d","2023","993efa09-2f9d-42be-a0b3-b6c912e0f07c","Possibility conclusions","","","","","","",""
"tag","49509aef-80eb-4513-8713-2c50ce3e367b","2023","9ce26fd0-9787-4ed3-b02e-003d2c78327f","Broad trends in the Union Budget","","","","","","",""
"tag","fa4daeef-c47a-4f62-83a5-938cb33942ca","2023","9ce26fd0-9787-4ed3-b02e-003d2c78327f","Broad trends in the Union Budget","","","","","","",""
"tag","8577d2ae-060f-43c0-924c-f8be8669b6b5","2023","9ce26fd0-9787-4ed3-b02e-003d2c78327f","Broad trends in the Union Budget","","spot_check","","","","",""
"tag","3c1a477f-5b1a-44fd-9437-82e6f8925357","2023","9ce26fd0-9787-4ed3-b02e-003d2c78327f","Broad trends in the Union Budget","","","","","","",""
"tag","d08c17ae-6dd0-4312-b044-9404c7799e44","2023","9ce26fd0-9787-4ed3-b02e-003d2c78327f","Broad trends in the Union Budget","","","","","","",""
"tag","f10da60d-44ea-412d-96f8-9cf19df9db99","2023","a3da90af-8bfa-457f-94d6-fa7d072fa042","Poverty alleviation and employment generation in India","","","","","","",""
"tag","7ffb0da8-a8a9-42e2-a718-394a3b5c4c84","2023","a5ece133-4cad-4641-8caa-5e593c34e888","Simultaneous equations from word conditions","","","","","","",""
"tag","e0749e74-8172-4445-b55a-3503ff9bc52b","2023","af47c6ee-252a-4618-acde-f828e5cbdd84","Unified powers over RBI, SEBI, IRDAI and PFRDA domains","","","","","","",""
"tag","b125f237-6238-4f05-9f0b-224d73cf62e4","2023","af47c6ee-252a-4618-acde-f828e5cbdd84","Unified powers over RBI, SEBI, IRDAI and PFRDA domains","","","","","","",""
"tag","43b03285-763a-4371-b7b3-d3254a41f05a","2023","b15890c8-9099-4526-bcee-4599579ce183","Financial inclusion schemes","","","","","","",""
"tag","8240fb5e-d622-4852-8964-fc0a602995dc","2023","b3d81d2c-a6e7-40d0-84dc-eea66c22bee7","Clearing corporations and settlement","","","","","","",""
"tag","c9040a86-f656-48f4-a6d6-05b61f1d231b","2023","b3d81d2c-a6e7-40d0-84dc-eea66c22bee7","Clearing corporations and settlement","","","","","","",""
"tag","f5fcb91b-0acc-4642-a3be-7f5a25ee24e8","2023","b3d81d2c-a6e7-40d0-84dc-eea66c22bee7","Clearing corporations and settlement","","","","","","",""
"tag","d37ea07d-8a73-44c8-a99e-e68016da3461","2023","b3d81d2c-a6e7-40d0-84dc-eea66c22bee7","Clearing corporations and settlement","","","","","","",""
"tag","8a7aa22f-ecb2-4b84-a0b8-4d9067f00dbe","2023","b77e7e84-163c-4a38-95b3-6c6ba6729d6d","IFSCA Act 2019 ΓÇö establishment and composition","","spot_check","","","","",""
"tag","303412e6-5d09-4259-99d4-cdbaa7a813a9","2023","b77e7e84-163c-4a38-95b3-6c6ba6729d6d","IFSCA Act 2019 ΓÇö establishment and composition","","","","","","",""
"tag","3fae218c-9a8c-4733-a5e0-6bfe8f87c4a0","2023","ba7baa6e-c6aa-4961-9163-0f9ef870cd7c","GIFT City ecosystem","","","","","","",""
"tag","ace4b97f-bb68-4c66-bfbd-f99cba6bd8f0","2023","ba7baa6e-c6aa-4961-9163-0f9ef870cd7c","GIFT City ecosystem","","","","","","",""
"tag","0968cde7-2433-43e8-8e39-80abffd1d357","2023","c2384cfd-529f-4f48-8d67-33fb2e5ce9fb","Reshaping and equal-perimeter problems","","","","","","",""
"tag","c773a4de-00ef-4768-b494-476d5d67c79e","2023","c26f0386-26ac-4035-96d6-3522f658cb19","Floor and flat double-variable puzzle","","","","","","",""
"tag","bfaa9f0d-f627-4b10-9181-a2278e72ce50","2023","c26f0386-26ac-4035-96d6-3522f658cb19","Floor and flat double-variable puzzle","","","","","","",""
"tag","a4e10e75-f46c-4a1f-816f-96487e93e549","2023","c26f0386-26ac-4035-96d6-3522f658cb19","Floor and flat double-variable puzzle","","","","","","",""
"tag","9ff3bbad-0442-4ea2-8445-e1658df78ac7","2023","c26f0386-26ac-4035-96d6-3522f658cb19","Floor and flat double-variable puzzle","","","","","","",""
"tag","3d0c9b2e-afaf-4628-a77f-fbfac6a601bd","2023","cd574056-f811-4f7b-8fdd-a4e37d0c9772","Ages ΓÇö present, past and future","","","","","","",""
"tag","e2a824f3-0bd5-4c12-ad8f-f2fd39bae053","2023","d1979e85-7942-4fdd-a5fa-b1d2e29f5977","Boats and streams","","","","","","",""
"tag","34d24265-48ee-4f56-945a-aaa295236f39","2023","d1b7a3f9-84e1-4832-8d3f-ca851b844ce6","Approximation with decimals and surds","","","","","","",""
"tag","6bff25e3-f0ac-44ac-91bc-c21b0ee9daaf","2023","d1b7a3f9-84e1-4832-8d3f-ca851b844ce6","Approximation with decimals and surds","","","","","","",""
"tag","de5ae800-e558-4991-bec9-b5f0cfe6ea9c","2023","d5730793-96f4-40bb-92b5-ff3a27a73d89","Anchor investors and lock-in","","spot_check","","","","",""
"tag","2e83fd3d-3b50-416a-8f48-385814ffbef5","2023","d8355e58-6c85-48c8-9878-318ba0a41772","Efficiency comparison and relative capacity","","","","","","",""
"tag","19cfbcf1-01f8-48fa-8b38-b1d28379fab3","2023","e2ed0952-3f31-409c-a5c3-617d9dfa7640","Themes and findings of the latest Economic Survey","","","","","","",""
"tag","9fddb36e-d1e6-4088-ac79-8f3215831d3e","2023","e36fe7d1-24c8-44a7-833c-faf3a2e6feff","Central Recordkeeping Agency","","","","","","",""
"tag","ca3fd7fc-0a07-4546-8401-97a48d821db4","2023","e8fccc09-a2c9-4076-a001-ad1c2378a23f","NBFC categories ΓÇö IFC, Factor, P2P","","","","","","",""
"tag","e2e2f841-a928-4601-b71f-35dc55819992","2023","e8fccc09-a2c9-4076-a001-ad1c2378a23f","NBFC categories ΓÇö IFC, Factor, P2P","","","","","","",""
"tag","3389d4f4-cefd-42b5-a81d-5c6ae4a7ae6f","2023","ee63d21f-3ff5-4193-975f-7e6c04a59c89","Three or more statement syllogism","","","","","","",""
"tag","a48fd97c-288d-41dc-954b-c3713859fd32","2023","ee63d21f-3ff5-4193-975f-7e6c04a59c89","Three or more statement syllogism","","","","","","",""
"tag","a7a63e3f-3ef1-4481-9f65-5be30ca99f14","2023","ee63d21f-3ff5-4193-975f-7e6c04a59c89","Three or more statement syllogism","","","","","","",""
"tag","21f02963-6381-4552-8106-f038cb770e26","2023","efd7de44-a236-4f45-ad92-35940425d2ac","Budget documents and the budget process","","","","","","",""
"tag","c422c070-d192-4557-9b9d-bba334c5a7c7","2023","f9bbff3d-12ad-4c33-85f9-6c4b1e71b8a9","Types and evolution of intermediaries","","","","","","",""
"tag","9b89d6c9-f592-4bf4-99e9-0c767f954ae6","2023","fa8a4cb7-7670-4f67-b933-9e9e0d4ace77","Combined transactions and overall gain","","","","","","",""
"question","5dd95765-c338-4c9f-9406-69b32a3f1383","2024","1","Write an Essay of about 250-270 words on any one of the following topics: (30 Marks) (i) Discuss the importance of mental health in adults. ","","spot_check","","","","",""
"question","64e0c328-0e13-4ce7-8d0b-d68f0a0056f1","2024","1","What is the maximum monthly pension available under the Atal Pension Yojana (APY)?","","spot_check","","","","easy",""
"question","2b4a2198-fcff-4e5b-b7c0-c7ca5636f2ad","2024","1","The professor's (A) profound research on (B) historical artifacts (C) shed light on the (D) significance of ancient cultures.","","spot_check","","","","",""
"question","991ec850-8e7d-4d06-a34c-59ecec94e78d","2024","1","How is the cost of production calculated?","","spot_check","","","","easy",""
"question","cf4c9f68-f728-4f68-bbfd-dbc8a7d302dd","2024","1","What is the maximum limit of Foreign Direct Investment (FDI) in the insurance sector in India as of 2024?","","spot_check","","","","hard",""
"question","b02fbc33-ce89-4268-9415-bfaf3717c13f","2024","1","55.55% of 305.98 + 6.08 × 11.98 - 960.89−−−−−−√𝟗𝟗𝟗𝟗𝟗𝟗.𝟖𝟖𝟖𝟖 =?","non_ascii_suspect;suspicious_repeat_char","flagged","","","","",""
"question","21443a06-7adc-4fbf-826b-b4bb4e9ff1bb","2024","1","Which eight-time Olympic gold medallist has been chosen as the ambassador for the ICC Men's T20 World Cup 2024?","no_primary_tag","flagged","","","","",""
"question","9eefe39d-29ef-4a68-834a-acf1285cf646","2024","1","Which of the following is not a part of the Bima Trinity introduced by IRDAI?","","spot_check","","","","medium",""
"question","a9621e19-1719-45ca-bbdb-61cbe6b4796f","2024","1","The SGX Nifty has been renamed as:","","spot_check","","","","easy",""
"question","e7ed24cb-95fe-43a4-a00e-0e694434924e","2024","1","What term is used to describe the difference between total expenditure and total receipts, excluding borrowings?","","spot_check","","","","easy",""
"question","21fb9401-c309-4b24-9cb5-1f27c13455ee","2024","1","Who sits immediate right of G?","no_primary_tag","flagged","","","","",""
"question","029be2e3-c426-408a-94c8-3b5ceb81a35e","2024","2","Make a Précis of the following passage in 120-130 words and give it a suitable title. (35 Marks) Trust and ethics are the cornerstones of a ","non_ascii_suspect","flagged","","","","",""
"question","421064e1-9fdc-4cf7-b77d-a91f160f363f","2024","2","Under the National Pension System (NPS), what is the maximum age up to which an individual can defer their exit or withdrawal?","","","","","","easy",""
"question","5c115e75-2013-40f2-bc0e-541d33505ac6","2024","2","During the (A) negotiation, the company's (B) stringent terms were (C) challenged by the (D) representatives of the union.","","","","","","",""
"question","3fc5359c-a0ce-4ee8-ae7e-e51731756c55","2024","2","What is the size of the batch of production where total cost of setup and holding costs are minimized?","","","","","","easy",""
"question","2f2353e1-e67a-45ff-9247-bdb86d66960a","2024","2","What is the minimum size of a futures contract that can be made public for individuals on exchanges in India as of 2024?","","","","","","hard",""
"question","ba54729a-c9bc-4703-857d-1895649b448e","2024","2","15𝟏𝟏𝟏𝟏 x 699.9845 – 43.002 x 5 + 594.012 x 2 = ?","non_ascii_suspect;suspicious_repeat_char","flagged","","","","",""
"question","f0558685-709d-491f-b72a-e39d721856a2","2024","2","Which health insurance scheme in India aims to achieve Universal Health Coverage (UHC)?","no_primary_tag","flagged","","","","",""
"question","078dce9f-c14d-4789-8702-657fb9e20102","2024","2","Which country’s bank, in collaboration with the International Finance Corporation (IFC), issued the world’s first biodiversity bond in the f","non_ascii_suspect","flagged","","","","",""
"question","52b3fc40-34ba-4b9d-b083-7050dc1a33a8","2024","2","What is the maximum number of members allowed in the International Financial Services Centres Authority (IFSCA)?","","","","","","easy",""
"question","78d4d2ac-df07-4f20-8c16-4fa77d7a8c23","2024","2","The direct benefit transfer of one-month salary for first-time employees registered in the EPFO will be up to what amount?","","","","","","",""
"question","e71101db-7662-4980-8d9b-a5f33df5be7c","2024","2","Who sits opposite to A?","no_primary_tag","flagged","","","","",""
"question","2623fa5b-871c-406c-bb79-25be0adfbcc0","2024","3","Read the passage given below and answer the questions on the basis of the passage in your own words. (35 Marks) Moonlighting, the practice o","non_ascii_suspect","flagged","","","","",""
"question","bd1c0211-782d-4f9b-b4c5-3f171cf6f781","2024","3","What is the minimum monthly pension under the UPS if an individual has completed at least 10 years of service?","","","","","","easy",""
"question","259af0b5-d7b7-48fb-baf2-580ce4168aba","2024","3","The novel's (A) intricate plot (B) delves into the (C) intricate emotions of its (D) deeply flawed characters.","","","","","","",""
"question","4e5f3e65-9d52-4d2b-be4e-68a942a27ea4","2024","3","What type of process loss is not allowed to affect the cost of good units?","","","","","","easy",""
"question","82fc1301-fc92-4fc6-95ac-8705420d18aa","2024","3","Which of the following is another name for municipal bonds issued to finance specific revenue-generating projects?","","","","","","easy",""
"question","816d2a38-196a-482d-b713-0f2eeb086fee","2024","3","11.18 × 170.02−−−−−−√𝟏𝟏𝟏𝟏𝟏𝟏.𝟎𝟎𝟎𝟎 =? × 48.902−−−−−−√𝟒𝟒𝟒𝟒.𝟗𝟗𝟗𝟗𝟗𝟗 + 19.034 × 1.908","non_ascii_suspect;suspicious_repeat_char","flagged","","","","",""
"question","1c63d983-fedc-484f-9154-c9a1d56f84a8","2024","3","What is the name of the Reusable Launch Vehicle for which ISRO conducted the third Landing Experiment (LEX) on June 23 at the Aeronautical T","no_primary_tag","flagged","","","","",""
"question","4e765149-89b2-486b-b188-3338159275f0","2024","3","In India, a Super Senior Citizen is defined as an individual resident who is of what age or above during the previous year?","","","","","","easy",""
"question","5514f067-3008-42d8-b116-bea23928ac52","2024","3","What is the full form of GIFT in GIFT City?","","","","","","easy",""
"question","cb4f4795-d582-467f-9a18-895ad0332003","2024","3","According to the Economic Survey 2023-24, India's equity market capitalization as a percentage of GDP ranks as the ____ largest in the world","suspicious_repeat_char","flagged","","","","",""
"question","72758f4c-827d-46eb-8555-5aedb79413ec","2024","3","How many people sit between B and A, if counted from the right of B?","no_primary_tag","flagged","","","","",""
"question","27363e69-82d8-4ddf-ac77-401e1dd1c1ff","2024","4","What is the maximum withdrawal allowed during the deferment period for a non-linked life pension product?","","","","","","hard",""
"question","7861e89c-092e-4a33-8e68-3552fc86688a","2024","4","The conference (A) provided a platform for (B) discussing the latest (C) advances in technology and (D) highlighted key challenges facing th","","","","","","",""
"question","f7328e67-ba7a-45e2-b026-2452c7024acf","2024","4","Given the following data: • Break-Even Point (BEP) = ₹1,50,000 • Fixed Costs (FC) = ₹60,000 • Variable Cost per unit (VC) = ₹12 Calculate th","non_ascii_suspect","flagged","","","","medium",""
"question","99fdb410-3b39-4f05-9054-ffce396ae99c","2024","4","Under the Reserve Bank of India (RBI) Act, what is the maximum denomination of banknotes that can be issued by the RBI?","","","","","","easy",""
"question","4ffe203a-cc8b-401a-bc36-6367f59c565d","2024","4","44.44 % of 198.109 + 224.98−−−−−−√𝟐𝟐𝟐𝟐𝟐𝟐.𝟗𝟗𝟗𝟗 × 2.087 – 218.190=?","non_ascii_suspect;suspicious_repeat_char","flagged","","","","",""
"question","38742898-cdc3-4264-8012-19c784f62db1","2024","4","Which organization recognized the name ""Statio Shiv Shakti"" for the landing site of Chandrayaan-3â€™s Vikram lander?","non_ascii_suspect;no_primary_tag","flagged","","","","",""
"question","71ac5a1f-a20c-49ae-8db9-6d90a98a576c","2024","4","In July 2024, which company was approved by the Reserve Bank of India (RBI) for conversion from a Non-Banking Financial Company (NBFC) to a ","","","","","","",""
"question","831ac90b-99c4-41d6-930f-d707d31fcf90","2024","4","International Financial Services Centres (IFSCs) are eligible for a tax-free period of how many years out of a total of 15 years?","","","","","","easy",""
"question","494464ac-5ac2-46d8-881c-4f0c5db388f5","2024","4","Which of the following is NOT a priority area of the Budget 2024-25?","","","","","","",""
"question","c3b7a96a-9eef-4d52-912a-9b0ed233473e","2024","4","What is the position of C with respect to H?","no_primary_tag","flagged","","","","",""
"question","7412ec21-3379-4254-8734-1ef1c1e89514","2024","5","What is the minimum annual contribution required for an NPS Tier-1 account?","","spot_check","","","","easy",""
"question","ba450043-fa9c-4e7f-a5f8-d2c03816a1e9","2024","5","Her (A) meticulous attention to (B) detail in preparing the (C) financial report was (D) noted by the audit team.","","","","","","",""
"question","885c9de3-2f31-4365-87b1-ae85f250ede2","2024","5","Which of the following is used in Margin of Safety calculation?","","","","","","easy",""
"question","a9c567a7-0566-4005-892e-095d13fa8f86","2024","5","Under which of the following Acts is a scheduled bank classified and mentioned in India?","","spot_check","","","","easy",""
"question","68557355-55ae-4a1b-9389-1f6f388184fc","2024","5","419.98 ÷ 6.97 + 8.12 × 13.108 – 629.912 ÷ 441.01−−−−−−√𝟒𝟒𝟒𝟒𝟒𝟒.𝟎𝟎𝟎𝟎 = ?","non_ascii_suspect;suspicious_repeat_char","flagged","","","","",""
"question","7cca238d-ade4-491e-b099-7080c652ee47","2024","5","What is the new minimum paid-up capital requirement for Asset Reconstruction Companies (ARCs) as per the RBI's regulations effective from Ap","no_primary_tag","flagged","","","","",""
"question","7c863f3f-4ac4-4242-a148-0988b8840246","2024","5","Who sits third to the right of F?","no_primary_tag","flagged","","","","",""
"question","3da053e5-9968-449f-add5-ef016215f522","2024","6","What is the standard percentage of an employee’s contribution to the Employees' Provident Fund (EPF)?","non_ascii_suspect","flagged","","","","easy",""
"question","5c13701f-d6e4-4de0-a85b-0ff2e82ed07f","2024","6","AI has also made significant strides, with applications ranging from virtual assistants to sophisticated data analysis tools. In healthcare,","","spot_check","","","","","[passage] The rise of technology has profoundly influenced nearly every aspect of modern life, fundamentally reshaping industries and transforming daily routines. Over the past few decades, technological advancements such as autom"
"question","52193e4d-fbb6-4c5f-b50a-4cde3e1acaef","2024","6","The National Bank for Financing Infrastructure and Development (NaBFID) primarily provides long-term finance for which of the following sect","","","","","","easy",""
"question","303cedb4-81d3-41a5-82a6-69be9b65d8da","2024","6","The percentage loss incurred by selling the product at Rs. 1350 is equal to one-half of the percentage profit earned by selling the same pro","","spot_check","","","","",""
"question","4fc072b5-1e15-467a-b1a4-084bfb897b88","2024","6","Under the Union Budget 2024, how many youth are expected to be skilled over a 5- year period through the skilling programme?","","","","","","",""
"question","4474f5d0-e945-4511-935d-8d7ed50a344c","2024","6","Who sits immediate right of R?","","spot_check","","","","","[caselet] A, E, G, H, K, M, R and V are sitting in a row that runs from East to West, all facing North, but not necessarily in the same order. V is sitting 2nd to the left of G. Only one person is sitting between V and K. M is sit"
"question","a0226fe3-10d1-4f9a-86fc-077e74f2dee0","2024","7","What is the maximum benefit provided under the Employees' Deposit Linked Insurance (EDLI) scheme?","","","","","","hard",""
"question","060b3bec-26eb-4a42-9111-5c7cf8473625","2024","7","AI has also made significant strides, with applications ranging from virtual assistants to sophisticated data analysis tools. In healthcare,","","","","","","","[passage] The rise of technology has profoundly influenced nearly every aspect of modern life, fundamentally reshaping industries and transforming daily routines. Over the past few decades, technological advancements such as autom"
"question","b1a5ca4d-8ad5-4680-a6a7-c2b0fadb7b76","2024","7","________ is a voluntary market association for Fixed Income, Money, and Derivatives markets in India.","suspicious_repeat_char","flagged","","","","easy",""
"question","e67e24b6-1f99-4090-b72c-39a6c5c93335","2024","7","In still water, boat 'B' is twice as fast as boat 'A'. Boats 'A' and 'B' are 300 km apart in a stream, and are travelling towards each other","","","","","","",""
"question","7dc6bbb7-62cf-432b-9de6-c26094281235","2024","7","Which bank is listed as the top Global Systemically Important Bank (G-SIB) with a 2.5% additional capital buffer, as per the November 2023 l","","","","","","",""
"question","d2312a22-1769-45e6-9af9-95e09354e332","2024","7","How many persons sit between V and A?","","","","","","","[caselet] A, E, G, H, K, M, R and V are sitting in a row that runs from East to West, all facing North, but not necessarily in the same order. V is sitting 2nd to the left of G. Only one person is sitting between V and K. M is sit"
"question","0ab16e3a-7f63-4359-9ecb-630052744fa0","2024","8","What is the minimum period required for contributing to the Atal Pension Yojana (APY) scheme to receive pension benefits?","","","","","","easy",""
"question","b9df92ff-c4e4-47bd-b8b2-90e5a8cc73ae","2024","8","AI has also made significant strides, with applications ranging from virtual assistants to sophisticated data analysis tools. In healthcare,","","","","","","","[passage] The rise of technology has profoundly influenced nearly every aspect of modern life, fundamentally reshaping industries and transforming daily routines. Over the past few decades, technological advancements such as autom"
"question","3b455f71-a147-44ab-8242-658260e62f25","2024","8","Which of the following is NOT a function of the Securities and Exchange Board of India (SEBI)?","","","","","","easy",""
"question","95c93d6d-6341-40b5-87eb-1bbdcb7821d4","2024","8","'A' and 'B' started a business by investing their capitals in the ratio of 4:3, respectively. Seven months later, 'C' joins them by investin","","","","","","",""
"question","61ad935d-b6ab-4ae7-999f-eabcc52016fe","2024","8","The Prime Minister of India addressed which edition of the Global Fintech Fest (GFF) in 2024?","","spot_check","","","","",""
"question","ced3a18c-7c15-4395-8efb-0e684aa9730e","2024","8","How many persons sit between M and H?","","","","","","","[caselet] A, E, G, H, K, M, R and V are sitting in a row that runs from East to West, all facing North, but not necessarily in the same order. V is sitting 2nd to the left of G. Only one person is sitting between V and K. M is sit"
"question","7280b28e-edce-49b4-9ef1-f3357679429b","2024","9","What is the age eligibility criteria for joining the National Pension System (NPS)?","","","","","","easy",""
"question","841ae068-aea7-45c2-a41b-fe4335f29b37","2024","9","AI has also made significant strides, with applications ranging from virtual assistants to sophisticated data analysis tools. In healthcare,","","","","","","","[passage] The rise of technology has profoundly influenced nearly every aspect of modern life, fundamentally reshaping industries and transforming daily routines. Over the past few decades, technological advancements such as autom"
"question","67d50c3c-cd40-47f5-b2a4-2d9bedf66405","2024","9","In the forex market, which of the following is known as settlement risk?","","","","","","easy",""
"question","59cc146c-3050-4b90-8b35-e96c9fe52659","2024","9","Ratio of the number of boys and girls in the class is 11:14. If 8 boys and 4 girls joined the class, then the ratio of the boys and girls be","","","","","","",""
"question","fbff539c-7bb6-4819-b42c-417775e738c6","2024","9","Which depository service provider in India has the largest proportion of new Demat accounts as of March 2024?","","","","","","",""
"question","66c297b8-70e0-4df7-9cf5-7abe340f5e0e","2024","9","Which among the following is the right combination of persons sitting at the left and right end of the respectively?","","","","","","","[caselet] A, E, G, H, K, M, R and V are sitting in a row that runs from East to West, all facing North, but not necessarily in the same order. V is sitting 2nd to the left of G. Only one person is sitting between V and K. M is sit"
"question","3d2b30f5-6127-4e86-ac62-adc2a2aa2244","2024","10","According to the Insurance Regulatory and Development Authority of India (IRDAI) guidelines, within how many days must an insurer resolve a ","","spot_check","","","","hard",""
"question","3847dfca-5d4c-4e45-9240-beed4fe407f2","2024","10","AI has also made significant strides, with applications ranging from virtual assistants to sophisticated data analysis tools. In healthcare,","","","","","","","[passage] The rise of technology has profoundly influenced nearly every aspect of modern life, fundamentally reshaping industries and transforming daily routines. Over the past few decades, technological advancements such as autom"
"question","8efe6680-a2f6-4fa7-a12e-4ceb754eefda","2024","10","Which of the following statements is NOT correct regarding Non-Banking Financial Companies (NBFCs) regulated by the Reserve Bank of India (R","","spot_check","","","","medium",""
"question","f063b6d3-b8c9-4f49-b6f7-7bbba5e8ab6b","2024","10","The income of 'A' is Rs. 12,500 while the income of 'B' is 16% more than that of 'A'. The ratio of expenditure and savings of 'A' is 2:3, re","","","","","","",""
"question","f7a47440-ed19-4ee6-b998-953664a71202","2024","10","After how many years of remaining unpaid and unclaimed are dividends, deposits, or debentures credited to the Investor Education and Protect","no_primary_tag","flagged","","","","",""
"question","c21c2406-b9a2-4dc9-8d91-c588bbb15b43","2024","10","Find the odd one out?","","spot_check","","","","","[caselet] A, E, G, H, K, M, R and V are sitting in a row that runs from East to West, all facing North, but not necessarily in the same order. V is sitting 2nd to the left of G. Only one person is sitting between V and K. M is sit"
