subject,subject_id,paper_code,phase,question_number,display_order,source_question_ref,topic,microtopic,microtopic_slug,question_id,stem_excerpt
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P1-ARD-2023,1,31,31,ARD-2023-Q031,"Rural Development, Schemes and Institutions",Food security and the public distribution system,ard-food-security-and-the-public-distribution-system-da810701,,Q.31) Under which of the following schemes the government has announced the distribution of free grain?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P1-ARD-2023,1,32,32,ARD-2023-Q032,"Rural Development, Schemes and Institutions",MGNREGA,ard-mgnrega-e34273e0,,Q.32) The Central government provides additional ______ of work in drought-hit areas under the MGNREGA scheme to provide
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P1-ARD-2023,1,33,33,ARD-2023-Q033,"Rural Development, Schemes and Institutions",Self-help groups and DAY-NRLM,ard-self-help-groups-and-day-nrlm-e87b9d68,,"Q.33) DAY-NRLM has a provision for interest subvention, to cover the difference between the Lending Rate of the banks an"
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P1-ARD-2023,1,34,34,ARD-2023-Q034,"Rural Development, Schemes and Institutions",Sanitation and drinking water missions,ard-sanitation-and-drinking-water-missions-1e7dd5d7,,Q.34) Under Jal Jeevan Mission (Rural) the mission is to provide ________ of water per person per day to every rural hou
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P1-ARD-2023,1,35,35,ARD-2023-Q035,"Rural Development, Schemes and Institutions",Sanitation and drinking water missions,ard-sanitation-and-drinking-water-missions-1e7dd5d7,,Q.35) SBM(G) Phase-II will be implemented from 2020-21 to _______ in a mission mode.
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P1-ARD-2023,1,36,36,ARD-2023-Q036,"Soil Science, Water and Agro-meteorology",Climate change and emission reports,ard-climate-change-and-emission-reports-e3123cf2,,"Q.36) Which of the following greenhouse is released in Volcanic eruption, Animal respiration, and anthropologic activiti"
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P1-ARD-2023,1,37,37,ARD-2023-Q037,"Agricultural Economics, Credit and Marketing",e-NAM and agricultural marketing platforms,ard-e-nam-and-agricultural-marketing-platforms-3c1c5ff6,,Q.37) Which of the following is a pan-India electronic trading portal that networks the existing APMC mandis to create a
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P1-ARD-2023,1,38,38,ARD-2023-Q038,"Agricultural Economics, Credit and Marketing",Kisan Credit Card and agricultural credit targets,ard-kisan-credit-card-and-agricultural-credit-targets-1b663009,,Q.38) Credit target for agriculture and allied sector has been announced to be increased to ______ crore with a focus on
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P1-ARD-2023,1,39,39,ARD-2023-Q039,"Soil Science, Water and Agro-meteorology",Soil moisture conservation practices,ard-soil-moisture-conservation-practices-bbf02983,,Q.39) In which of the following ridges are crossed by earth bands within the furrow or ties constructed to enhance soil 
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P1-ARD-2023,1,40,40,ARD-2023-Q040,"Soil Science, Water and Agro-meteorology",Irrigation methods,ard-irrigation-methods-d3bd948d,,Q.40) Which of the following is the correct statement regarding drip irrigation?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,1,1,ARD-2020-Q001,Agronomy and Crop Production,Organic and natural farming,ard-organic-and-natural-farming-dd64ed70,,Q.1) Based on the statements mentioned below find the type of farming system? Statement I – Use of less herbicides State
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,2,2,ARD-2020-Q002,Horticulture and Plantation Crops,Mushroom cultivation,ard-mushroom-cultivation-cc6618ae,,Q.2) What is the kind of mushroom that ages well and forms gills and wrinkled umbrella?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,3,3,ARD-2020-Q003,"Agricultural Economics, Credit and Marketing",Agricultural revolutions,ard-agricultural-revolutions-f75a3ef4,,Q.3) Blue revolution is related to?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,4,4,ARD-2020-Q004,"Animal Husbandry, Dairy and Poultry",Dairy physiology and milk production,ard-dairy-physiology-and-milk-production-67b5201e,,Q.4) What is the first milk produced by animals which is highly nutritious?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,5,5,ARD-2020-Q005,"Agricultural Engineering, Mechanisation and Extension",Farm implements and mechanisation,ard-farm-implements-and-mechanisation-635cd7ec,,Q.5) Which of the following tillage implements perform harrowing action with rotating with stell discs
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,6,6,ARD-2020-Q006,Forestry and Agroforestry,Agroforestry systems,ard-agroforestry-systems-ef1aa2d0,,"Q.6) What is the kind of forestry system which contains Trees, Crops, Pasteur for livestock?"
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,7,7,ARD-2020-Q007,Forestry and Agroforestry,Forest management and community forestry,ard-forest-management-and-community-forestry-39e845dd,,"Q.7) What is the kind of forestry system- for the community, to the community and by the community?"
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,8,8,ARD-2020-Q008,"Agricultural Economics, Credit and Marketing",Operational land holdings and farm size classification,ard-operational-land-holdings-and-farm-size-classification-b394fb0e,,"Q.8) As per the classification of type of farmers in India based land holding, what would be the land holding of margina"
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,9,9,ARD-2020-Q009,"Animal Husbandry, Dairy and Poultry",Cattle breeds,ard-cattle-breeds-c6fbb93e,,Q.9) Which is the best milk yielding indigenous breed of cattle?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,10,10,ARD-2020-Q010,"Animal Husbandry, Dairy and Poultry",Sheep and goat breeds,ard-sheep-and-goat-breeds-8d8a2774,,Q.10) Which of the following breeds of sheep is famous for its finest carpet wool?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,11,11,ARD-2020-Q011,"Soil Science, Water and Agro-meteorology",Soil classification systems and soil orders,ard-soil-classification-systems-and-soil-orders-6d6328e0,,Q.11) Which type of soil classification is acceptable for soils in India?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,12,12,ARD-2020-Q012,"Soil Science, Water and Agro-meteorology",Soil types and their distribution in India,ard-soil-types-and-their-distribution-in-india-f1275c3b,,Q.12) Which type of soils occupy the maximum area in India?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,13,13,ARD-2020-Q013,"Soil Science, Water and Agro-meteorology",Soil classification systems and soil orders,ard-soil-classification-systems-and-soil-orders-6d6328e0,,Q.13) What is the soil order that is low in plant nutrients but high in Boron?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,14,14,ARD-2020-Q014,"Soil Science, Water and Agro-meteorology",Soil physical properties and soil moisture,ard-soil-physical-properties-and-soil-moisture-6599130c,,Q.14) What is the amount of soil moisture present in each volume of soil at a given time?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,15,15,ARD-2020-Q015,"Soil Science, Water and Agro-meteorology",Irrigation coverage and statistics,ard-irrigation-coverage-and-statistics-e7ab50cf,,"Q.15) In India, net irrigated area has increased over time. Gross irrigation area is more than net irrigation area. Para"
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,16,16,ARD-2020-Q016,"Soil Science, Water and Agro-meteorology",Irrigation coverage and statistics,ard-irrigation-coverage-and-statistics-e7ab50cf,,Q.16) The proportion area irrigated is high in which state?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,17,17,ARD-2020-Q017,"Agricultural Engineering, Mechanisation and Extension","Post-harvest storage, grading and losses",ard-post-harvest-storage-grading-and-losses-cb1ee86d,,Q.17) What is post-harvest loss of vegetables and fruits in India?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,18,18,ARD-2020-Q018,Horticulture and Plantation Crops,"Post-harvest physiology, maturity and ripening",ard-post-harvest-physiology-maturity-and-ripening-b99c260f,,Q.18) Which of the following pairs of fruits are semi-perishable?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,19,19,ARD-2020-Q019,Horticulture and Plantation Crops,"Post-harvest physiology, maturity and ripening",ard-post-harvest-physiology-maturity-and-ripening-b99c260f,,Q.19) Which type or section of Maturity index of Jackfruit which differentiates from mango?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,20,20,ARD-2020-Q020,Agronomy and Crop Production,Cropping systems and cropping patterns,ard-cropping-systems-and-cropping-patterns-97da95cc,,Q.20) What is the cropping pattern of Sugarcane with a short span crop orop that can be harvested even before Sugarcane 
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,21,21,ARD-2020-Q021,Agronomy and Crop Production,Cropping systems and cropping patterns,ard-cropping-systems-and-cropping-patterns-97da95cc,,Q.21) Which of the following cropping system is highest in India?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,22,22,ARD-2020-Q022,Agronomy and Crop Production,Cropping systems and cropping patterns,ard-cropping-systems-and-cropping-patterns-97da95cc,,Q.22)Which cereal cropping system after rice and wheat combinations has highest area under cultivation?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,23,23,ARD-2020-Q023,"Animal Husbandry, Dairy and Poultry",Poultry production and management,ard-poultry-production-and-management-23203b34,,Q.23)Broilers are marketed between ___________weeks of age?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,28,28,ARD-2020-Q028,"Agricultural Economics, Credit and Marketing",Kisan Credit Card and agricultural credit targets,ard-kisan-credit-card-and-agricultural-credit-targets-1b663009,,Q.28) Which of the following is NOT the feature of KCC? 1) A loan of 3 lakh can be sanctioned 2) No collateral will be r
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2020,2,30,30,ARD-2020-Q030,"Agricultural Economics, Credit and Marketing",Production economics and factors of production,ard-production-economics-and-factors-of-production-fffc9645,,Q.30)Which of the following statements are INCORRECT about Production Function Curve? 1) The graph shows short raw funct
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2021,2,1,1,ARD-2021-Q001,Horticulture and Plantation Crops,Horticulture production statistics,ard-horticulture-production-statistics-4130b769,,"Q.1) As per recently released “2nd advance estimate of area and production of Horticultural crops for the year 2020-21”,"
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2021,2,2,2,ARD-2021-Q002,Horticulture and Plantation Crops,Horticulture information systems,ard-horticulture-information-systems-2cd5dc9f,,Q.2) Which one of the following portals has been launched to provide information on horticulture assessment management u
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2021,2,3,3,ARD-2021-Q003,Horticulture and Plantation Crops,Horticulture production statistics,ard-horticulture-production-statistics-4130b769,,"Q.3) As per recently released 2nd advance estimate of area and production of horticultural crops for the year 2020-21, w"
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2021,2,4,4,ARD-2021-Q004,Agronomy and Crop Production,Organic and natural farming,ard-organic-and-natural-farming-dd64ed70,,Q.4) Which of the following Indian state is the first to become completely organic?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2021,2,5,5,ARD-2021-Q005,Agronomy and Crop Production,Organic and natural farming,ard-organic-and-natural-farming-dd64ed70,,Q.5) Which of the following scheme is associated with organic farming in India?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2021,2,6,6,ARD-2021-Q006,Agronomy and Crop Production,Organic and natural farming,ard-organic-and-natural-farming-dd64ed70,,Q.6) Which amongst the following states has largest area under organic farming?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2021,2,7,7,ARD-2021-Q007,Agronomy and Crop Production,Organic and natural farming,ard-organic-and-natural-farming-dd64ed70,,Q.7) Which of the following is the single largest category of crops under organic farming in terms of commodities?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2021,2,8,8,ARD-2021-Q008,Horticulture and Plantation Crops,Tissue culture and nursery techniques,ard-tissue-culture-and-nursery-techniques-e76e2be1,,Q.8) What is the name of process where the plants are isolated and acclimatized to the climate where they are grown?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2021,2,9,9,ARD-2021-Q009,"Soil Science, Water and Agro-meteorology",Soil conservation and erosion control,ard-soil-conservation-and-erosion-control-b50e6128,,Q.9) The Branch of Agriculture that deals with management of soil and water is called as?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2021,2,10,10,ARD-2021-Q010,Forestry and Agroforestry,Types of forestry and social forestry,ard-types-of-forestry-and-social-forestry-d739d142,,Q.10) The practice of forestry in areas devoid of tree growth and other vegetation situated in places away from the conv
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2021,2,11,11,ARD-2021-Q011,"Soil Science, Water and Agro-meteorology",Irrigation and groundwater schemes,ard-irrigation-and-groundwater-schemes-8c00e4e2,,Q.11) Which of the following schemes has been formulated with the vision of extending the coverage of irrigation and imp
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2021,2,12,12,ARD-2021-Q012,"Rural Development, Schemes and Institutions",Food security and the public distribution system,ard-food-security-and-the-public-distribution-system-da810701,,Q.12) Name the mobile app recently launched by government in order to facilitate the ‘One Nation-One Ration Card’ system
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2021,2,13,13,ARD-2021-Q013,"Soil Science, Water and Agro-meteorology",Soil classification systems and soil orders,ard-soil-classification-systems-and-soil-orders-6d6328e0,,"Q.13) Soil that comprises of both sand, silt and organic matter is termed as................"
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2021,2,14,14,ARD-2021-Q014,Agronomy and Crop Production,Cropping systems and cropping patterns,ard-cropping-systems-and-cropping-patterns-97da95cc,,Q.14) What is the cropping pattern of Sugarcane with a short span crop orop that can be harvested even before Sugarcane 
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2021,2,15,15,ARD-2021-Q015,"Agricultural Engineering, Mechanisation and Extension",Tillage systems and practices,ard-tillage-systems-and-practices-14643597,,Q.15) In which form of tillage is the soil left undisturbed from harvest to planting except for nutrient injection?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2022,2,1,1,ARD-2022-Q001,"Animal Husbandry, Dairy and Poultry",Livestock reproduction and gestation,ard-livestock-reproduction-and-gestation-af5125a2,,Q.1)The Process of parturition (Act of giving birth) in pig is called ____
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2022,2,2,2,ARD-2022-Q002,"Animal Husbandry, Dairy and Poultry",Livestock reproduction and gestation,ard-livestock-reproduction-and-gestation-af5125a2,,Q.2) The Gestation period in swine is _____
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2022,2,3,3,ARD-2022-Q003,"Animal Husbandry, Dairy and Poultry",Livestock reproduction and gestation,ard-livestock-reproduction-and-gestation-af5125a2,,Q.3)The Parturition process in swine generally takes place during
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2022,2,4,4,ARD-2022-Q004,"Animal Husbandry, Dairy and Poultry",Poultry housing systems,ard-poultry-housing-systems-b35c4156,,"Q.4) The usual floor space is __1.___and the height, 17 inches."
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2022,2,5,5,ARD-2022-Q005,"Animal Husbandry, Dairy and Poultry",Poultry housing systems,ard-poultry-housing-systems-b35c4156,,"Q.5) Pullets, which are more often used than birds of over _2.___should be placed in the cages."
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2022,2,6,6,ARD-2022-Q006,"Animal Husbandry, Dairy and Poultry",Poultry housing systems,ard-poultry-housing-systems-b35c4156,,"Q.6) Pullets, which are more often used than birds of over _2.___should be placed in the cages at least__3.___ before th"
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2022,2,7,7,ARD-2022-Q007,"Agricultural Economics, Credit and Marketing",Agriculture's contribution to gross value added,ard-agriculture-s-contribution-to-gross-value-added-22099611,,"Q.7) As per the Economic Survey 2021 -22, What is the Gross Value Addition (GVA) of Agriculture Sector in India’s total "
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2022,2,8,8,ARD-2022-Q008,Agronomy and Crop Production,Cropping systems and cropping patterns,ard-cropping-systems-and-cropping-patterns-97da95cc,,"Q.8) As per the Economic Survey 2021 -22, the existing cropping pattern is skewed towards the cultivation of ___________"
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2022,2,9,9,ARD-2022-Q009,Horticulture and Plantation Crops,Scientific names of horticultural crops,ard-scientific-names-of-horticultural-crops-9e83e592,,Q.9) What is the scientific name of strawberry?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2022,2,10,10,ARD-2022-Q010,"Soil Science, Water and Agro-meteorology","Manures, fertilizers and biofertilizers",ard-manures-fertilizers-and-biofertilizers-baa7d9d5,,Q.10) A scientific process of converting organic matter into compost by earthworms is called ____.
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2022,2,11,11,ARD-2022-Q011,"Soil Science, Water and Agro-meteorology",Soil classification systems and soil orders,ard-soil-classification-systems-and-soil-orders-6d6328e0,,"Q.11) Soil that comprises of both sand, silt and organic matter is termed as................"
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2022,2,12,12,ARD-2022-Q012,"Agricultural Engineering, Mechanisation and Extension",Farm implements and mechanisation,ard-farm-implements-and-mechanisation-635cd7ec,,"Q.12) A machine which is used to separate seeds from impurities, inert material and adulterants is _____"
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2022,2,13,13,ARD-2022-Q013,"Agricultural Economics, Credit and Marketing",NABARD and rural finance institutions,ard-nabard-and-rural-finance-institutions-2bee848c,,Q.13) Which subsidiary of NABARD working with NBFCs is responsible for financing Farmers and cooperations?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2022,2,14,14,ARD-2022-Q014,"Agricultural Economics, Credit and Marketing",e-NAM and agricultural marketing platforms,ard-e-nam-and-agricultural-marketing-platforms-3c1c5ff6,,"Q.14) In which of the following years, e -NAM was launched?"
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2022,2,15,15,ARD-2022-Q015,"Agricultural Economics, Credit and Marketing",e-NAM and agricultural marketing platforms,ard-e-nam-and-agricultural-marketing-platforms-3c1c5ff6,,Q.15) State can take the advantages of the e -NAM portal if they fulfil which of the following conditions? 1) Provision 
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2023,2,5,5,ARDESI-2023-Q005,"Agricultural Engineering, Mechanisation and Extension",Tillage systems and practices,ard-tillage-systems-and-practices-14643597,,"Q.5) Ploughing is the ________(1)_____operation, which is performed to cut, break, and invert the soil partially or comp"
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2023,2,6,6,ARDESI-2023-Q006,"Agricultural Engineering, Mechanisation and Extension",Tillage systems and practices,ard-tillage-systems-and-practices-14643597,,Q.6) _____ (2)_______ is used for churning the soil with standing water while preparing fields for paddy transplantation
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2023,2,7,7,ARDESI-2023-Q007,"Agricultural Engineering, Mechanisation and Extension",Tillage systems and practices,ard-tillage-systems-and-practices-14643597,,Q.7) Which of the following is /are the objectives of tillage in Rice?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2023,2,8,8,ARDESI-2023-Q008,Agronomy and Crop Production,Millets and coarse cereals,ard-millets-and-coarse-cereals-5817dc22,,Q.8) Recently Indian Institute of Millet Research has established a “Center of Excellence” for the promotion of millets 
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2023,2,18,18,ARDESI-2023-Q018,"Soil Science, Water and Agro-meteorology",Soil chemical properties and salinity,ard-soil-chemical-properties-and-salinity-003f2da2,,Q.18) What is the pH and Electrical Conductivity of the saline soil?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2023,2,19,19,ARDESI-2023-Q019,"Soil Science, Water and Agro-meteorology",Soil chemical properties and salinity,ard-soil-chemical-properties-and-salinity-003f2da2,,Q.19) Saline soil has _________g/l of Na.
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2023,2,20,20,ARDESI-2023-Q020,"Soil Science, Water and Agro-meteorology",Soil chemical properties and salinity,ard-soil-chemical-properties-and-salinity-003f2da2,,Q.20) Which of the following process lead to the accumulation of Na in soil?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2023,2,21,21,ARDESI-2023-Q021,"Soil Science, Water and Agro-meteorology","Manures, fertilizers and biofertilizers",ard-manures-fertilizers-and-biofertilizers-baa7d9d5,,Q.21) Which of the following is a complex fertilizer?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2023,2,22,22,ARDESI-2023-Q022,"Animal Husbandry, Dairy and Poultry",Cattle breeds,ard-cattle-breeds-c6fbb93e,,Q.22) Balangir is a breed of which of the following? 393 | P a g e
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2023,2,23,23,ARDESI-2023-Q023,Agronomy and Crop Production,Cropping systems and cropping patterns,ard-cropping-systems-and-cropping-patterns-97da95cc,,"Q.23) In which of the following cropping patterns 4 crops can be grown, but one crop is cultivated before the harvest of"
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2023,2,24,24,ARDESI-2023-Q024,Fisheries and Aquaculture,Aquaculture systems and water quality,ard-aquaculture-systems-and-water-quality-8d07f0a7,,Q.24) In which of the following culture systems more than 1 type of fish is cultivated?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2023,2,25,25,ARDESI-2023-Q025,"Agricultural Engineering, Mechanisation and Extension",Agricultural research and extension system,ard-agricultural-research-and-extension-system-ef3db2e9,,Q.25) The idea of the establishment of Krishi Vigyan Kendra was developed by which of the following committees?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P2-ARD-2023,2,29,29,ARDESI-2023-Q029,Horticulture and Plantation Crops,Horticulture development programmes,ard-horticulture-development-programmes-afcb6fe0,,"Q.29) Which programme has been announced in the Union Budget 2023 -24 with an outlay of Rs. 2,200 Crore to boost availab"
Computer Knowledge,0f2ac69b-bd39-422e-bb0d-a81ac4ad3057,NABARD-P1-COMPUTER-KNOWLEDGE-2020,1,61,1,CK-2020-Q061,Networking and the Internet,Network types and scale,ck-network-types-and-scale-dbf6bf7d,,Q.61)____ is larger than LANs but smaller than MANs and WANs.
Computer Knowledge,0f2ac69b-bd39-422e-bb0d-a81ac4ad3057,NABARD-P1-COMPUTER-KNOWLEDGE-2020,1,62,2,CK-2020-Q062,Cyber Security and Digital Literacy,"Firewalls, phishing and safe computing",ck-firewalls-phishing-and-safe-computing-624a87e3,,Q.62)A ___________ can be either a hardware device or a software that provides protection from online intrusions.
Computer Knowledge,0f2ac69b-bd39-422e-bb0d-a81ac4ad3057,NABARD-P1-COMPUTER-KNOWLEDGE-2020,1,63,3,CK-2020-Q063,Operating Systems and File Management,File and folder management,ck-file-and-folder-management-da299b46,,Q.63)What is the main folder on a storage device called?
Computer Knowledge,0f2ac69b-bd39-422e-bb0d-a81ac4ad3057,NABARD-P1-COMPUTER-KNOWLEDGE-2020,1,64,4,CK-2020-Q064,"Hardware, Peripherals and Storage",Input devices and pointing hardware,ck-input-devices-and-pointing-hardware-29b27c37,,Q.64)A _______________ is an input device used to enter motion data into computers or other electronic devices.
Computer Knowledge,0f2ac69b-bd39-422e-bb0d-a81ac4ad3057,NABARD-P1-COMPUTER-KNOWLEDGE-2020,1,65,5,CK-2020-Q065,Networking and the Internet,Internet protocols and addressing,ck-internet-protocols-and-addressing-d6583563,,Q.65)FTP allows us to transfer files from one computer to another on the internet. FTP stands for
Computer Knowledge,0f2ac69b-bd39-422e-bb0d-a81ac4ad3057,NABARD-P1-COMPUTER-KNOWLEDGE-2020,1,66,6,CK-2020-Q066,Computer Fundamentals and Evolution,Computer fundamentals and basic terminology,ck-computer-fundamentals-and-basic-terminology-d30552ba,,Q.66)Hardware is a __________ component.
Computer Knowledge,0f2ac69b-bd39-422e-bb0d-a81ac4ad3057,NABARD-P1-COMPUTER-KNOWLEDGE-2020,1,67,7,CK-2020-Q067,Networking and the Internet,Networking devices,ck-networking-devices-3e223e93,,"Q.67)A ____________, in the context of networking is a high-speed device that receives incoming data and redirects it to"
Computer Knowledge,0f2ac69b-bd39-422e-bb0d-a81ac4ad3057,NABARD-P1-COMPUTER-KNOWLEDGE-2020,1,68,8,CK-2020-Q068,"Hardware, Peripherals and Storage","Printers, printing metrics and display hardware",ck-printers-printing-metrics-and-display-hardware-67bde690,,Q.68)What for ‘I’ stands for in PPI?
