group,id,verdict,fact,source,note
ACC-CST-MGT,ACC-033,confirmed,Ind AS 40 para 30 (Indian): cost model for all investment property; fair value disclosed (para 79(e)); no amendment permitting fair value model found,https://indasaccess.icai.org/,
ACC-CST-MGT,ACC-034,confirmed,AS 5 extraordinary items; Ind AS 1 para 87 prohibits; Ind AS 103 para 34/36A bargain purchase gain -> OCI/capital reserve (clear evidence) else direct to capital reserve; Ind AS 16 para 29 cost or revaluation model,https://indasaccess.icai.org/,
ACC-CST-MGT,ACC-035,confirmed,"AS 4 (as amended by Cos (AS) Amendment Rules 2016) para 8.5: dividends proposed/declared after BS date not recognised, disclosed in notes; aligns with Ind AS 10 para 12-13",https://indasaccess.icai.org/,
ACC-CST-MGT,ACC-049,confirmed,"AS 10 (revised) para 61: change in depreciation method = change in accounting estimate, prospective; 5,60,000 x 15% = 84,000",https://indasaccess.icai.org/,
ACC-CST-MGT,ACC-058,confirmed,"AS 11 para 46A (Cos (AS) Rules 2021): FCMITDA option, amortised over balance period; para 46A has no 31-3-2020 sunset (that applies to para 46 only); computation 2,10,000 verified",https://indasaccess.icai.org/Volume-III/AS/asb.html?a=112,
ACC-CST-MGT,ACC-071,confirmed,"Schedule III Div I Part I General Instruction 6T/Div II: commitments = capital contracts not provided for, uncalled liability on partly paid shares/investments, other commitments; claims not acknowledged as debts = contingent liability",https://www.mca.gov.in/Ministry/pdf/ScheduleIII_24032021.pdf,
ACC-CST-MGT,ACC-095,confirmed,"CA 2013 s.129(3): CFS of company and all subsidiaries, associates and JVs in addition to standalone FS; AOC-1 under r.5 Accounts Rules",https://www.indiacode.nic.in/handle/123456789/2114,
ACC-CST-MGT,ACC-101,confirmed,SCD Rules r.12(6)(a) and SBEB&SE Regs 2021 reg.18(1): minimum 1 year between grant and vesting,https://www.sebi.gov.in/legal/regulations/aug-2021/securities-and-exchange-board-of-india-share-based-employee-benefits-and-sweat-equity-regulations-2021_51889.html,
ACC-CST-MGT,ACC-107,confirmed,"CA 2013 s.2(88): sweat equity = equity shares issued to directors/employees at a discount or for consideration other than cash for know-how, IPR or value additions",https://www.indiacode.nic.in/handle/123456789/2114,
ACC-CST-MGT,ACC-108,confirmed,s.54(1)(a) special resolution; SCD Rules r.8(5) lock-in 3 years from allotment; sweat equity at discount/non-cash,https://www.indiacode.nic.in/handle/123456789/2114,
ACC-CST-MGT,ACC-112,confirmed,"CA 2013 s.52(2): SP usable for bonus shares, preliminary expenses, issue expenses/commission/discount, premium on redemption of pref shares/debentures, buy-back u/s 68; not dividend",https://www.indiacode.nic.in/handle/123456789/2114,
ACC-CST-MGT,ACC-113,confirmed,"s.52(2) permitted uses; 10,00,000+7,50,000-1,20,000-4,00,000-1,00,000 = 11,30,000",https://www.indiacode.nic.in/handle/123456789/2114,
ACC-CST-MGT,ACC-114,confirmed,Table F reg.13(ii): interest on unpaid calls <=10% p.a.; reg.18(b): interest on calls in advance <=12% p.a. unless GM directs otherwise,https://www.indiacode.nic.in/handle/123456789/2114,
ACC-CST-MGT,ACC-115,confirmed,Schedule III Div I: calls unpaid deducted from subscribed capital; calls in advance shown under other current liabilities (ICAI Guidance Note on Div I),https://www.mca.gov.in/Ministry/pdf/ScheduleIII_24032021.pdf,
ACC-CST-MGT,ACC-119,confirmed,CA 2013 s.62(1)(a)(i): rights offer open not less than 15 and not more than 30 days (shorter with 90% consent for private cos/Rule 12A context),https://www.indiacode.nic.in/handle/123456789/2114,
ACC-CST-MGT,ACC-120,confirmed,s.62(1)(a)(ii) renunciation unless articles provide otherwise; Explanation: notice dispatched >=3 days before opening; s.62(1)(a)(iii) disposal not disadvantageous,https://www.indiacode.nic.in/handle/123456789/2114,
ACC-CST-MGT,ACC-122,confirmed,"s.63(1): bonus from free reserves, SP, CRR, not revaluation reserve; 5,00,000 - 1,20,000 SP = 3,80,000 from GR -> GR 2,20,000",https://www.indiacode.nic.in/handle/123456789/2114,
ACC-CST-MGT,ACC-123,confirmed,"s.68(2)(b)-(c): board up to 10%, special resolution up to 25% of paid-up capital + free reserves; equity limit 25% of paid-up equity in a FY",https://www.indiacode.nic.in/handle/123456789/2114,
ACC-CST-MGT,ACC-124,confirmed,s.68(2)(c) + Explanation II (free reserves include securities premium): 25% x (10+30+5) = Rs11.25 cr; 4.5 lakh shares <= 25 lakh,https://www.indiacode.nic.in/handle/123456789/2114,
ACC-CST-MGT,ACC-125,confirmed,s.69(1) CRR = nominal value when bought back from free reserves/SP; s.68(2) proviso one-year gap between offers; s.68(4) completion within one year,https://www.indiacode.nic.in/handle/123456789/2114,
ACC-CST-MGT,ACC-126,confirmed,"s.55(2) proviso (a): CRR out of profits = nominal value redeemed not covered by fresh issue: 50,00,000 - 20,00,000 = 30,00,000",https://www.indiacode.nic.in/handle/123456789/2114,
ACC-CST-MGT,ACC-127,confirmed,"s.55(2): redemption out of distributable profits or fresh issue; SP only for premium; 10,00,000 - 4,00,000 = 6,00,000 -> 60,000 shares",https://www.indiacode.nic.in/handle/123456789/2114,
ACC-CST-MGT,ACC-128,confirmed,s.55(1)-(2) + SCD Rules r.10: no irredeemable pref shares; redeemable within 20 years; infrastructure up to 30 years with 10% p.a. from 21st year,https://www.indiacode.nic.in/handle/123456789/2114,
ACC-CST-MGT,ACC-131,confirmed,SCD Rules r.18(7)(b) (am. 16-8-2019): no DRR for listed cos (public/private placement); other unlisted cos DRR 10% of outstanding debentures; r.18(7)(a) DRR out of profits available for dividend,https://www.mca.gov.in/Ministry/pdf/AmendmentRules_16082019.pdf,
ACC-CST-MGT,ACC-135,confirmed,Indian Partnership Act 1932 s.13(d): interest on partner's advance at 6% p.a.,https://www.indiacode.nic.in/handle/123456789/2305,
ACC-CST-MGT,ACC-138,confirmed,"s.13(d): 6% p.a.; 2,00,000 x 6% x 6/12 = 6,000",https://www.indiacode.nic.in/handle/123456789/2305,
ACC-CST-MGT,ACC-146,confirmed,"Schedule III Div I: other current liabilities include interest accrued and due on borrowings and unpaid dividends (1,20,000+30,000 = 1,50,000); current maturities -> short-term borrowings; bills payable -> trade payables",https://www.mca.gov.in/Ministry/pdf/ScheduleIII_24032021.pdf,
ACC-CST-MGT,ACC-148,confirmed,Schedule III Div I Part II: profit before exceptional & extraordinary items and tax -> exceptional items -> profit before extraordinary items and tax -> extraordinary items -> PBT,https://www.mca.gov.in/Ministry/pdf/ScheduleIII_24032021.pdf,
ACC-CST-MGT,ACC-169,confirmed,"Ind AS 7 para 33 (Indian): financial entities - interest paid/received and dividends received operating; others - interest paid financing, interest & dividends received investing",https://indasaccess.icai.org/,
ACC-CST-MGT,ACC-171,confirmed,"Ind AS 7 para 33 Indian; CFO = 10,00,000 - 55,000 - 1,80,000 = 7,65,000",https://indasaccess.icai.org/,
ACC-CST-MGT,ACC-177,confirmed,"Ind AS 7 indirect method; CFO 5,05,000 - tax paid 80,000 = 4,25,000 (reconciles with change in cash 40,000)",https://indasaccess.icai.org/,
ACC-CST-MGT,ACC-180,confirmed,"Ind AS 7 paras 17, 33-34 (Indian): interest and dividends paid financing; CFF = +2,00,000 -2,00,000 -40,000 -1,00,000 = -1,40,000",https://indasaccess.icai.org/,
ACT-BANK,ACTB-001,confirmed,RBI Act s.13(1): Central Board meets at least six times a year and at least once each quarter,https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/RBIA1934170510.PDF,
ACT-BANK,ACTB-002,confirmed,"RBI Act s.7(1): Central Govt directions after consultation with the Governor, in public interest",https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/RBIA1934170510.PDF,
ACT-BANK,ACTB-003,confirmed,RBI Act s.7 directions; s.8 Board composition; s.13 meetings; s.47 surplus profits to Central Govt,https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/RBIA1934170510.PDF,
ACT-BANK,ACTB-004,confirmed,RBI Act s.22: RBI has sole right to issue bank notes in India,https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/RBIA1934170510.PDF,
ACT-BANK,ACTB-005,confirmed,"RBI Act s.33(2): gold coin+bullion+foreign securities >= Rs 200 cr, of which gold >= Rs 115 cr (s.37 suspension aside)",https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/RBIA1934170510.PDF,
ACT-BANK,ACTB-006,confirmed,RBI Act s.33 minimum reserve system (1956/57) replaced 40% proportional reserve,https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/RBIA1934170510.PDF,
ACT-BANK,ACTB-007,confirmed,"RBI Act s.24(1) denominations <= Rs 10,000 specified by Central Govt on Board recommendation; s.26(2) demonetisation by Central Govt notification on Board recommendation; s.33(2) Rs 200 cr",https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/RBIA1934170510.PDF,
ACT-BANK,ACTB-008,confirmed,RBI Act s.42(6)(a): paid-up capital and reserves of aggregate value not less than Rs 5 lakh + RBI satisfaction,https://indiankanoon.org/doc/371708/,
ACT-BANK,ACTB-009,confirmed,RBI Act s.42(1) as amended 2006: CRR % specified by RBI with no floor/ceiling; interest on CRR balances omitted,https://indiankanoon.org/doc/371708/,Minor: statute says 'total of demand and time liabilities in India' (net of excluded items per Explanation); 'NDTL' is the RBI-directions term - acceptable.
ACT-BANK,ACTB-012,confirmed,"RBI Act s.45ZB: MPC = Governor, DG in charge of monetary policy, one RBI officer nominated by Board, three Central Govt appointees",https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/RBIA1934170510.PDF,
ACT-BANK,ACTB-013,confirmed,"RBI Act s.45ZI: quorum four members incl. Governor or, in his absence, the DG member",https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/RBIA1934170510.PDF,
ACT-BANK,ACTB-014,confirmed,RBI Act s.45ZI: majority of members present and voting; Governor has second/casting vote on tie,https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/RBIA1934170510.PDF,
ACT-BANK,ACTB-015,confirmed,Failure = average CPI inflation above upper tolerance (or below lower) for any three consecutive quarters (2016 notification); 4% +/-2% target retained for Apr 2026-Mar 2031,https://visionias.in/current-affairs/news-today/2026-03-26/economy/union-government-notifies-the-inflation-target-for-2026-2031-under-flexible-inflation-targeting-fit-framework,
ACT-BANK,ACTB-016,confirmed,"RBI Act s.45ZL minutes on 14th day; s.45ZM MPR once in six months; s.45ZC external member term four years, not eligible for reappointment",https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/RBIA1934170510.PDF,"Minor: statute says 'four years or until further orders, whichever is earlier' - statement acceptable."
ACT-BANK,ACTB-017,confirmed,RBI Act s.45-IA(1)(b): NOF Rs 25 lakh or other amount notified by RBI not exceeding Rs 100 crore (Finance (No.2) Act 2019),https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/RBIA1934170510.PDF,
ACT-BANK,ACTB-018,confirmed,RBI 50-50 principal business test (given); s.45-IA CoR requirement,https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/RBIA1934170510.PDF,
ACT-BANK,ACTB-019,confirmed,"RBI Act s.45-IA Explanation: NOF = owned fund minus investments in/loans to subsidiaries, group cos and other NBFCs to the extent exceeding 10% of owned fund",https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/RBIA1934170510.PDF,
ACT-BANK,ACTB-020,confirmed,RBI Act s.45-IC: transfer not less than 20% of net profit per P&L before declaring dividend,https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/RBIA1934170510.PDF,
ACT-BANK,ACTB-021,confirmed,RBI Act s.45-IB: liquid assets 5%-25% (as RBI specifies) of deposits outstanding on last working day of second preceding quarter,https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/RBIA1934170510.PDF,
ACT-BANK,ACTB-022,confirmed,RBI Act s.45-MB(1) prohibit deposits; s.45-MB(2) prohibit alienation of property; s.45-MC RBI may only petition for winding up,https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/RBIA1934170510.PDF,
ACT-BANK,ACTB-023,confirmed,RBI Act s.18: power of direct discount / loans on special occasions notwithstanding s.17 limits,https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/RBIA1934170510.PDF,
ACT-BANK,ACTB-024,confirmed,"RBI Act s.19: RBI may not lend on security of immovable property; s.17 permits G-sec purchases, Govt deposits without interest, SDF (Finance Act 2018)",https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/RBIA1934170510.PDF,"Minor: explanation's '(other than its own premises)' misplaces the exception - the s.19 exception is for RBI OWNING property needed for its own premises/staff residences, not for lending against it. Reword."
ACT-BANK,ACTB-025,confirmed,"RBI Act s.20 (Central Govt business obligatory), s.21A (State Govt by agreement), s.17 SDF, s.19 bar on unsecured loans",https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/RBIA1934170510.PDF,
ACT-BANK,ACTB-026,confirmed,BR Act s.5(b) banking = accepting deposits for lending/investment; Explanation to s.5(c) excludes manufacturer/trader accepting deposits merely to finance own business,https://lawgist.in/banking-regulation-act/5,
ACT-BANK,ACTB-027,confirmed,BR Act s.8: no trading in goods except in connection with realisation of security,https://lawgist.in/banking-regulation-act/8,
ACT-BANK,ACTB-028,confirmed,BR Act s.9: immovable property not for own use not to be held beyond 7 years; RBI may extend by up to 5 years,https://lawgist.in/banking-regulation-act/9,
ACT-BANK,ACTB-029,confirmed,BR Act Explanation to s.5(c); s.7 use of 'bank/banker/banking'; s.6(2) no business other than s.6(1),https://lawgist.in/banking-regulation-act/6,
ACT-BANK,ACTB-030,confirmed,BR Act s.17(1): transfer not less than 20% of P&L profit to reserve fund before dividend,https://lawgist.in/banking-regulation-act/17,
ACT-BANK,ACTB-031,confirmed,BR Act s.12(1): subscribed >= 1/2 authorised; paid-up >= 1/2 subscribed,https://lawgist.in/banking-regulation-act/12,
ACT-BANK,ACTB-032,confirmed,BR Act s.12(2): voting ceiling 10% raisable by RBI to 26%; RBI notified 26% (July 2016),https://lawgist.in/banking-regulation-act/12,
ACT-BANK,ACTB-033,confirmed,BR Act s.12B: RBI prior approval for acquisition resulting in 5% or more of paid-up capital/voting rights,https://lawgist.in/banking-regulation-act/12B,
ACT-BANK,ACTB-034,confirmed,BR Act s.11(2)(b)(ii): foreign bank deposits with RBI 20% of annual profit on Indian-branch business,https://lawgist.in/banking-regulation-act/11,
ACT-BANK,ACTB-035,confirmed,"BR Act s.20(1)(b)(iii): company limb excludes subsidiaries, s.25/s.8 companies and Government companies; (iv) individuals for whom director is partner/guarantor",https://lawgist.in/banking-regulation-act/20,
ACT-BANK,ACTB-036,confirmed,"BR Act s.5(ne): substantial interest = holding (singly or with spouse/minor child) exceeding Rs 2 crore (Banking Laws (Amendment) Act 2025, eff. 1 Aug 2025) or 10% of paid-up capital, whichever less",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2150371,
ACT-BANK,ACTB-037,confirmed,BR Act s.19(2): shares held as pledgee/mortgagee/owner <= lower of 30% of investee's paid-up and 30% of bank's paid-up+reserves,https://lawgist.in/banking-regulation-act/19,
ACT-BANK,ACTB-038,confirmed,BR Act s.22(5): appeal to Central Govt within 30 days of communication of cancellation,https://lawgist.in/banking-regulation-act/22,
ACT-BANK,ACTB-040,confirmed,BR Act s.24(2A): SLR up to 40% of DTL as RBI specifies; 25% floor removed by BR (Amendment) Act 2007,https://indiankanoon.org/doc/79726/,
ACT-BANK,ACTB-041,confirmed,"BR Act s.35A(1): public interest, banking policy, prevent detriment to depositors/bank, proper management",https://lawgist.in/banking-regulation-act/35A,
ACT-BANK,ACTB-046,confirmed,BR Act s.35A directions can restrict withdrawals; s.45 moratorium is ordered by Central Govt on RBI application,https://lawgist.in/banking-regulation-act/45,
ACT-BANK,ACTB-048,confirmed,"BR Act s.45(2): Central Govt moratorium on RBI application, extendable, total not exceeding six months",https://lawgist.in/banking-regulation-act/45,
ACT-BANK,ACTB-049,confirmed,BR Act s.45(7): RBI-prepared scheme sanctioned by Central Govt with or without modifications,https://lawgist.in/banking-regulation-act/45,
ACT-BANK,ACTB-050,confirmed,BR Act s.36AA(3): appeal to Central Govt within 30 days of communication of removal order,https://lawgist.in/banking-regulation-act/36AA,
ACT-BANK,ACTB-051,confirmed,"DICGC cover Rs 5 lakh per depositor per bank, principal+interest, same right and capacity (from 4 Feb 2020); still in force Sept 2026",https://www.dicgc.org.in/FAQs,Watch: a proposal to raise cover to Rs 7.5 lakh was pending with PMO (June 2026 reports); not notified as of this check - re-verify before release.
ACT-BANK,ACTB-052,confirmed,"PACS are not insured banks; all commercial banks incl. RRBs, LABs, foreign bank branches and eligible co-op banks are insured",https://www.dicgc.org.in/FAQs,
ACT-BANK,ACTB-053,confirmed,"DICGC Act s.2(g) exclusions: foreign Govt, Central/State Govt, inter-bank deposits, deposits received outside India",https://www.dicgc.org.in/FAQs,
ACT-BANK,ACTB-054,confirmed,"Same exclusions: deposits received outside India excluded; foreign banks' Indian branches, RRBs, LABs insured",https://www.dicgc.org.in/FAQs,
ACT-BANK,ACTB-055,confirmed,"Rs 5 lakh cap per depositor per bank aggregated across branches, same capacity",https://www.dicgc.org.in/FAQs,
ACT-BANK,ACTB-056,confirmed,"Same right and capacity rule: different bank or capacity (joint, guardian) = separate cover",https://www.dicgc.org.in/FAQs,
ACT-BANK,ACTB-057,confirmed,Rs 5 lakh cap per bank incl. interest,https://www.dicgc.org.in/FAQs,
ACT-BANK,ACTB-058,confirmed,"DICGC Act s.16(2): on scheme of amalgamation etc., DICGC pays difference between deposit (up to insured limit) and amount received",https://www.dicgc.org.in/guide-to-deposit-insurance,
ACT-BANK,ACTB-059,confirmed,DICGC Act s.16(2) scheme trigger; s.18A (2021) directions trigger; liquidation s.16(1),https://www.dicgc.org.in/FAQs,
ACT-BANK,ACTB-060,confirmed,Company is a separate depositor; Rs 5 lakh per depositor per bank,https://www.dicgc.org.in/FAQs,
ACT-BANK,ACTB-061,confirmed,"DICGC Act s.15 premium on assessable deposits, half-yearly; rate given in stem",https://www.business-standard.com/finance/news/rbi-risk-based-premium-deposit-insurance-framework-april-2026-126020602020_1.html,"Rate is given so key unaffected; note that from 1 Apr 2026 a risk-based premium (8-12 paise per Rs 100) replaced the flat 12 paise for most banks (12 paise retained for UCBs, LABs, payments banks)."
ACT-BANK,ACTB-062,confirmed,"Assessable deposits exclude Govt, inter-bank and foreign Govt deposits; premium on assessable deposits (rate given)",https://www.dicgc.org.in/FAQs,"Same risk-based premium note as ACTB-061 (rate given in stem, key unaffected)."
ACT-BANK,ACTB-063,confirmed,Premium borne entirely by the insured bank,https://www.dicgc.org.in/FAQs,
ACT-BANK,ACTB-064,confirmed,"DICGC Act s.18A (2021): 45 days bank submission, 30 days verification, payment within 90 days of directions",https://www.dicgc.org.in/FAQs,
ACT-BANK,ACTB-065,confirmed,DICGC Act s.17(1) liquidator list within 3 months of assuming charge; DICGC pays within 2 months of receipt of list (s.16(1)),https://www.dicgc.org.in/FAQs,
ACT-BANK,ACTB-066,confirmed,s.18A 2021 Act; Rs 5 lakh limit from 4 Feb 2020 (before 2021 Act),https://www.dicgc.org.in/FAQs,
ACT-BANK,ACTB-067,confirmed,s.18A: bank to furnish depositor details within 45 days of directions (20 Jan 2026 + 45 = 6 Mar 2026),https://www.dicgc.org.in/FAQs,
ACT-BANK,ACTB-068,confirmed,s.18A: payment within 90 days of directions (20 Jan 2026 + 90 = 20 Apr 2026),https://www.dicgc.org.in/FAQs,
ACT-BANK,ACTB-069,confirmed,"Separate caps per capacity: individual 5.00, joint 2.40, firm 5.00 = Rs 12.40 lakh",https://www.dicgc.org.in/FAQs,
ACT-BANK,ACTB-070,confirmed,Govt and inter-bank deposits excluded; total Rs 16.60 lakh,https://www.dicgc.org.in/FAQs,
ACT-IPI,ACTI-001,confirmed,Insurance Act s.2CB(1): no policy on property in India with insurer whose principal place of business is outside India save with prior permission of the Authority (unchanged by 2025 Act),https://ifsca.gov.in/CommonDirect/PreviewPdf?id=29709e474fe6b066fc0cb19f7d6ac244&fileName=Insurance_Act_1938_20260717_0231.pdf,
ACT-IPI,ACTI-002,confirmed,s.64VB(1): no risk assumed unless premium received/guaranteed/deposited in advance; 2025 amendment only adds online mode/credit to insurer's bank account to the Explanation,"https://prsindia.org/files/bills_acts/bills_parliament/2025/Sabka_Bima_Sabki_Raksha(Amendment_of_Insurance_Laws)Bill,2025.pdf",
ACT-IPI,ACTI-003,confirmed,s.27E: no insurer shall directly or indirectly invest policyholders' funds outside India; still in force (2025 Act omitted only ss.27A-27D),https://ifsca.gov.in/CommonDirect/PreviewPdf?id=29709e474fe6b066fc0cb19f7d6ac244&fileName=Insurance_Act_1938_20260717_0231.pdf,
ACT-IPI,ACTI-004,confirmed,s.110 (2015): appeal against IRDAI/adjudicating officer order to SAT within 45 days of receipt; not amended in 2025,https://indiankanoon.org/doc/1656199/,
ACT-IPI,ACTI-005,confirmed,"s.6(1): paid-up equity capital Rs 100 crore for life/general insurer, preliminary expenses of formation/registration excluded; 2025 Act changed only foreign reinsurer NOF (Rs 5,000 cr -> Rs 1,000 cr)",https://ifsca.gov.in/CommonDirect/PreviewPdf?id=29709e474fe6b066fc0cb19f7d6ac244&fileName=Insurance_Act_1938_20260717_0231.pdf,
ACT-IPI,ACTI-006,confirmed,s.39(2): policyholder may appoint person to receive money during minority of nominee,https://indiankanoon.org/doc/610691/,
ACT-IPI,ACTI-007,confirmed,"s.45(1): 3 years from date of policy = latest of issue, risk commencement, revival, rider",https://advocatetanmoy.com/2019/11/29/section-45-of-the-insurance-laws-amendment-act-2015/,
ACT-IPI,ACTI-008,confirmed,s.45(4): non-fraud repudiation within 3 years - premiums collected till repudiation refunded within 90 days,https://advocatetanmoy.com/2019/11/29/section-45-of-the-insurance-laws-amendment-act-2015/,
ACT-IPI,ACTI-009,confirmed,s.40(1): remuneration for soliciting/procuring insurance only to insurance agent or intermediary/insurance intermediary; 2025 added s.40(2A) (Authority may specify limits),"https://prsindia.org/files/bills_acts/bills_parliament/2025/Sabka_Bima_Sabki_Raksha(Amendment_of_Insurance_Laws)Bill,2025.pdf",
ACT-IPI,ACTI-010,confirmed,s.64UM(2): claim equal to or exceeding regulation-specified amount needs licensed surveyor report unless Authority directs otherwise; proviso preserves insurer's right to settle at different amount,https://indiankanoon.org/doc/1656199/,
ACT-IPI,ACTI-012,confirmed,s.39: assignment under s.38 cancels nomination; proviso - assignment to insurer against loan within surrender value does not; parents/spouse/children beneficial nominees (s.39(7)),https://indiankanoon.org/doc/610691/,
ACT-IPI,ACTI-013,confirmed,s.45(5): insurer may call for proof of age at any time; adjusting terms on proof of misstated age is not calling policy in question,https://advocatetanmoy.com/2019/11/29/section-45-of-the-insurance-laws-amendment-act-2015/,
ACT-IPI,ACTI-014,confirmed,"s.64VB(3) cheque posted/MO booked date; (4) agent deposit within 24 hours excl. bank & postal holidays; (5) refunds direct to insured, never to agent's account",https://indiankanoon.org/doc/1656199/,
ACT-IPI,ACTI-015,confirmed,s.102 as amended by Act 40 of 2025 (in force 05-02-2026): up to Rs 1 lakh per day of default subject to maximum Rs 10 crore,"https://prsindia.org/files/bills_acts/bills_parliament/2025/Sabka_Bima_Sabki_Raksha(Amendment_of_Insurance_Laws)Bill,2025.pdf",
ACT-IPI,ACTI-016,confirmed,s.2CB foreign insurer permission; s.3 registration; s.27E no investment outside India; s.64VB premium in advance,https://ifsca.gov.in/CommonDirect/PreviewPdf?id=29709e474fe6b066fc0cb19f7d6ac244&fileName=Insurance_Act_1938_20260717_0231.pdf,
ACT-IPI,ACTI-017,confirmed,"s.40(2A) (2025): Authority may specify limits on commission/remuneration/reward; s.41(1) rebate prohibition; s.41 proviso (2025): agent's commission on policy of any class taken out by himself for his own life, health or property is not a rebate","https://prsindia.org/files/bills_acts/bills_parliament/2025/Sabka_Bima_Sabki_Raksha(Amendment_of_Insurance_Laws)Bill,2025.pdf",
ACT-IPI,ACTI-018,confirmed,"s.64UM(2): report needed where claim equal to or exceeding threshold, unless Authority directs otherwise",https://indiankanoon.org/doc/1656199/,
ACT-IPI,ACTI-019,confirmed,s.45(1): 3 years from latest of issue/risk/revival/rider -> revival 10-09-2024 + 3 yrs = 10-09-2027,https://advocatetanmoy.com/2019/11/29/section-45-of-the-insurance-laws-amendment-act-2015/,
ACT-IPI,ACTI-020,confirmed,"s.45(4): non-fraud repudiation - all premiums collected (5 x 36,500 = 1,82,500) within 90 days of 15-05-2026 = 13-08-2026",https://advocatetanmoy.com/2019/11/29/section-45-of-the-insurance-laws-amendment-act-2015/,
ACT-IPI,ACTI-021,confirmed,s.39 (assignment under s.38 cancels nomination; insurer-loan exception inapplicable to third-party NBFC); absolute assignee entitled,https://indiankanoon.org/doc/610691/,
ACT-IPI,ACTI-022,confirmed,"s.39 proviso: assignment to insurer against loan within surrender value does not cancel nomination, affects nominee only to extent of insurer's interest; (10,00,000-64,800)/2 = 4,67,600",https://indiankanoon.org/doc/610691/,
ACT-IPI,ACTI-024,confirmed,IRDA Act s.14(2)(m): adjudication of disputes between insurers and intermediaries or insurance intermediaries,https://ifsca.gov.in/CommonDirect/PreviewPdf?id=29709e474fe6b066fc0cb19f7d6aaf6e&fileName=IRDA_Act_1999_20260717_0229.pdf,
ACT-IPI,ACTI-025,confirmed,IRDA Act s.19(1): supersession for period not exceeding six months,https://ifsca.gov.in/CommonDirect/PreviewPdf?id=29709e474fe6b066fc0cb19f7d6aaf6e&fileName=IRDA_Act_1999_20260717_0229.pdf,
ACT-IPI,ACTI-026,confirmed,IRDA Act s.16A(2) (inserted by Act 40 of 2025): sums realised by way of penalties under IRDA Act/Insurance Act credited to Policyholders' Education and Protection Fund,https://ifsca.gov.in/CommonDirect/PreviewPdf?id=29709e474fe6b066fc0cb19f7d6aaf6e&fileName=IRDA_Act_1999_20260717_0229.pdf,
ACT-IPI,ACTI-027,confirmed,"IRDA Act s.5(1) as amended 2025: Chairperson and WTMs - 5 years or till age 65, whichever earlier",https://ifsca.gov.in/CommonDirect/PreviewPdf?id=29709e474fe6b066fc0cb19f7d6aaf6e&fileName=IRDA_Act_1999_20260717_0229.pdf,
ACT-IPI,ACTI-028,confirmed,"IRDA Act s.8: 2 years after ceasing office, no Govt employment or appointment in any company in insurance sector without previous Central Govt approval",https://ifsca.gov.in/CommonDirect/PreviewPdf?id=29709e474fe6b066fc0cb19f7d6aaf6e&fileName=IRDA_Act_1999_20260717_0229.pdf,
ACT-IPI,ACTI-029,confirmed,"IRDA Act s.14(2)(d) surveyors code, (k) investment, (l) solvency; NPS pension funds regulated under PFRDA Act",https://ifsca.gov.in/CommonDirect/PreviewPdf?id=29709e474fe6b066fc0cb19f7d6aaf6e&fileName=IRDA_Act_1999_20260717_0229.pdf,
ACT-IPI,ACTI-030,confirmed,IRDA Act s.18: bound by policy directions other than those relating to technical and administrative matters,https://ifsca.gov.in/CommonDirect/PreviewPdf?id=29709e474fe6b066fc0cb19f7d6aaf6e&fileName=IRDA_Act_1999_20260717_0229.pdf,
ACT-IPI,ACTI-031,confirmed,"IRDA Act s.16(3)-(4) (2025): 25% of annual surplus to Reserve Fund, fund not to exceed total annual expenditure of preceding 3 FYs; balance surplus to CFI",https://ifsca.gov.in/CommonDirect/PreviewPdf?id=29709e474fe6b066fc0cb19f7d6aaf6e&fileName=IRDA_Act_1999_20260717_0229.pdf,
ACT-IPI,ACTI-032,confirmed,IRDA Act s.14(2)(n) (substituted 2025): imposing penalty as specified in s.102 Insurance Act for violation of IRDA Act/rules/regulations,https://ifsca.gov.in/CommonDirect/PreviewPdf?id=29709e474fe6b066fc0cb19f7d6aaf6e&fileName=IRDA_Act_1999_20260717_0229.pdf,
ACT-IPI,ACTI-033,confirmed,IRDA Act s.5(2) part-time term <=5 yrs; s.6(2) hearing required for removal under s.6(1)(d)/(e); s.5(1) (2025) 5 yrs/65 for Chairperson and WTMs,https://ifsca.gov.in/CommonDirect/PreviewPdf?id=29709e474fe6b066fc0cb19f7d6aaf6e&fileName=IRDA_Act_1999_20260717_0229.pdf,
